Quarter,Time,Tm,Detail,JAX,IND
1.0,3:48,Jaguars,Trevor Lawrence 1 yard rush (Riley Patterson kick),7,0
2.0,13:56,Colts,Chase McLaughlin 28 yard field goal,7,3
,11:27,Jaguars,Jamycal Hasty 61 yard rush (Riley Patterson kick),14,3
,2:06,Colts,Parris Campbell 4 yard pass from Matt Ryan (Chase McLaughlin kick),14,10
,0:21,Colts,Chase McLaughlin 42 yard field goal,14,13
3.0,10:55,Jaguars,Trevor Lawrence 2 yard rush (Riley Patterson kick),21,13
,5:44,Colts,Deon Jackson 3 yard rush (pass failed),21,19
4.0,12:47,Colts,Jelani Woods 10 yard pass from Matt Ryan (Chase McLaughlin kick),21,26
,2:44,Jaguars,Christian Kirk 4 yard pass from Trevor Lawrence (pass failed),27,26
,0:17,Colts,Alec Pierce 32 yard pass from Matt Ryan (Phillip Lindsay run),27,34
