Unnamed: 0,TEN,IND
First Downs,15,22
Rush-Yds-TDs,30-154-1,24-82-1
Cmp-Att-Yd-TD-INT,17-22-182-2-0,25-40-319-1-2
Sacked-Yards,6-44,3-10
Net Pass Yards,138,309
Total Yards,292,391
Fumbles-Lost,2-2,1-1
Turnovers,2,3
Penalties-Yards,3-33,6-40
Third Down Conv.,5-13,5-12
Fourth Down Conv.,1-1,0-0
Time of Possession,27:29,32:31
