0,1
Game Info,Game Info
Won Toss,Colts (deferred)
Roof,retractable roof (closed)
Surface,fieldturf
Duration,3:07
Attendance,60361
Vegas Line,Tennessee Titans -1.0
Over/Under,41.5 (over)
