Quarter,Time,Tm,Detail,TEN,IND
1.0,11:03,Colts,Jack Doyle 21 yard pass from Jacoby Brissett (Adam Vinatieri kick),0,7
,5:05,Titans,Adam Humphries 13 yard pass from Ryan Tannehill (Ryan Succop kick),7,7
2.0,6:07,Colts,Adam Vinatieri 28 yard field goal,7,10
3.0,10:23,Colts,Nyheim Hines 1 yard rush (Adam Vinatieri kick),7,17
,5:52,Titans,Derrick Henry 13 yard rush (Ryan Succop kick),14,17
,4:26,Titans,Ryan Succop 31 yard field goal,17,17
4.0,5:02,Titans,Tye Smith 63 yard blocked field goal return (Ryan Succop kick),24,17
,3:02,Titans,Kalif Raymond 40 yard pass from Ryan Tannehill (Ryan Succop kick),31,17
