Quarter,Time,Down,ToGo,Location,NYJ,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Nick Folk kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,ATL 20,0,0,Jacquizz Rodgers left guard for 2 yards (tackle by Demario Davis),0.280,0.000
1,14:29,2,8,ATL 22,0,0,Matt Ryan pass complete short left to Patrick DiMarco for 12 yards (tackle by Antonio Cromartie),0.000,1.200
1,14:14,1,10,ATL 34,0,0,Jacquizz Rodgers right guard for 7 yards (tackle by Jaiquawn Jarrett and Muhammad Wilkerson),1.200,1.600
1,13:42,2,3,ATL 41,0,0,Matt Ryan pass complete short middle to Tony Gonzalez for 6 yards (tackle by Jaiquawn Jarrett),1.600,2.060
1,13:14,1,10,ATL 47,0,0,Jacquizz Rodgers left tackle for 7 yards (tackle by Dawan Landry),2.060,2.460
1,12:32,2,3,NYJ 46,0,0,Jacquizz Rodgers right guard for -2 yards (tackle by Muhammad Wilkerson),2.460,1.490
1,11:51,3,5,NYJ 48,0,0,Matt Ryan pass incomplete short left intended for Tony Gonzalez (defended by Darrin Walls),1.490,0.070
1,11:46,4,5,NYJ 48,0,0,Shann Schillinger pass complete short left to Jason Snelling for -8 yards (tackle by Garrett McIntyre),0.070,-2.650
1,11:35,1,10,ATL 44,0,0,Bilal Powell right guard for 2 yards (tackle by Thomas DeCoud and Stephen Nicholas),2.650,2.380
1,10:56,2,8,ATL 42,0,0,Geno Smith right end for 6 yards,2.380,2.480
1,10:52,3,2,ATL 36,0,0,Geno Smith pass complete short right to Mike Goodson for 9 yards (tackle by Asante Samuel),2.480,3.780
1,9:15,1,10,ATL 27,0,0,Bilal Powell up the middle for 3 yards (tackle by Omar Gaither and Thomas DeCoud),3.780,3.640
1,9:09,2,7,ATL 24,0,0,Mike Goodson right end for -1 yards (tackle by Omar Gaither and Corey Peters),3.640,2.810
1,8:30,3,8,ATL 25,0,0,Geno Smith pass complete short middle to Jeff Cumberland for 12 yards (tackle by Desmond Trufant),2.810,4.710
1,7:56,1,10,ATL 13,0,0,Geno Smith pass complete short right to David Nelson for 7 yards (tackle by Thomas DeCoud),4.710,5.340
1,7:19,2,3,ATL 6,0,0,Bilal Powell right guard for no gain (tackle by Jonathan Babineaux),5.340,4.560
1,6:41,3,3,ATL 6,0,0,Geno Smith pass complete short left to David Nelson for 2 yards (tackle by Joplo Bartu and Desmond Trufant),4.560,3.040
1,6:35,4,1,ATL 4,0,0,Penalty on Geno Smith: Delay of Game (Declined),3.040,3.040
1,5:51,4,1,ATL 4,3,0,Nick Folk 22 yard field goal good,3.040,3.000
1,5:51,,,NYJ 35,3,0,"Nick Folk kicks off 65 yards, touchback",0.000,-0.280
1,5:46,1,10,ATL 20,3,0,Matt Ryan pass complete short right to Roddy White for 9 yards (tackle by David Harris),0.280,0.950
1,5:17,2,1,ATL 29,3,0,Jason Snelling right guard for 3 yards (tackle by Muhammad Wilkerson),0.950,1.070
1,4:48,1,10,ATL 32,3,0,Matt Ryan pass complete short right to Jason Snelling for 2 yards (tackle by Calvin Pace and Jaiquawn Jarrett),1.070,0.800
1,4:09,2,8,ATL 34,3,0,"Matt Ryan pass complete short middle to Roddy White for 18 yards (tackle by Josh Bush). Roddy White fumbles (forced by Josh Bush), recovered by Julio Jones at NYJ-37 and returned for 18 yards",0.800,4.310
,,,,,,,"NYJ challenged the pass completion ruling, and the play was upheld.",,
1,3:18,1,10,NYJ 19,3,0,Jason Snelling left guard for no gain (tackle by David Harris),4.310,3.750
1,2:38,2,10,NYJ 19,3,0,"Matt Ryan pass complete short left to Roddy White for no gain. Penalty on Leger Douzable: Defensive Offside, 5 yards (no play)",3.750,4.530
1,2:11,2,5,NYJ 14,3,0,Jacquizz Rodgers left tackle for 2 yards (tackle by Dawan Landry and Muhammad Wilkerson),4.530,4.190
1,1:27,3,3,NYJ 12,3,0,Matt Ryan pass complete short middle to Julio Jones for 5 yards (tackle by Muhammad Wilkerson),4.190,5.600
1,0:45,1,7,NYJ 7,3,0,Matt Ryan pass complete short right to Julio Jones for 3 yards (tackle by Antonio Allen and David Harris),5.600,5.340
Quarter,Time,Down,ToGo,Location,NYJ,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,NYJ 4,3,0,Matt Ryan pass incomplete short left intended for Tony Gonzalez,5.340,4.490
2,14:57,3,4,NYJ 4,3,6,"Matt Ryan pass complete short middle to Jason Snelling for 4 yards, touchdown",4.490,7.000
2,14:57,,,NYJ 2,3,7,Matt Bryant kicks extra point good,0.000,0.000
2,14:57,,,ATL 35,3,7,"Matthew Bosher kicks off 68 yards, returned by Clyde Gates for 36 yards (tackle by Matthew Bosher)",0.000,-1.140
2,14:42,1,10,NYJ 33,3,7,Mike Goodson right end for 26 yards (tackle by Thomas DeCoud),1.140,2.850
2,14:12,1,10,ATL 41,3,7,Geno Smith pass incomplete short right intended for Mike Goodson,2.850,2.310
2,14:07,2,10,ATL 41,3,7,Chris Ivory right tackle for 1 yard (tackle by Paul Worrilow),2.310,1.750
2,13:27,3,9,ATL 40,3,7,Geno Smith pass complete deep left to Jeremy Kerley for 21 yards (tackle by Desmond Trufant),1.750,4.310
2,12:40,1,10,ATL 19,3,7,Geno Smith sacked by Joplo Bartu for -3 yards,4.310,3.360
2,12:05,2,13,ATL 22,3,7,Mike Goodson right guard for 7 yards (tackle by Paul Worrilow and Jonathan Babineaux),3.360,3.580
2,11:58,3,6,ATL 15,3,7,"Penalty on NYJ: Illegal Substitution, 5 yards (no play)",3.580,2.940
2,11:08,3,11,ATL 20,9,7,"Geno Smith pass complete deep right to Jeff Cumberland for 20 yards, touchdown",2.940,7.000
2,11:08,,,ATL 2,10,7,Nick Folk kicks extra point good,0.000,0.000
2,11:08,,,NYJ 35,10,7,"Nick Folk kicks off 65 yards, touchback",0.000,-0.280
2,11:01,1,10,ATL 20,10,7,Matt Ryan pass complete short middle to Jacquizz Rodgers for 1 yard (tackle by David Harris),0.280,-0.130
2,10:18,2,9,ATL 21,10,7,Matt Ryan pass complete short left to Julio Jones for 3 yards (tackle by Kyle Wilson),-0.130,-0.430
