Unnamed: 0,NYJ,ATL
First Downs,15,26
Rush-Yds-TDs,22-118-0,22-64-2
Cmp-Att-Yd-TD-INT,16-20-199-3-0,37-46-311-2-0
Sacked-Yards,4-29,2-12
Net Pass Yards,170,299
Total Yards,288,363
Fumbles-Lost,0-0,2-1
Turnovers,0,1
Penalties-Yards,6-24,4-46
Third Down Conv.,6-11,6-12
Fourth Down Conv.,0-0,1-2
Time of Possession,24:33,35:27
