Quarter,Time,Down,ToGo,Location,IND,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Rigoberto Sanchez kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,LAR 25,0,0,Todd Gurley middle for 2 yards (tackle by Henry Anderson),0.610,0.330
1,14:29,2,8,LAR 27,0,0,Jared Goff pass complete short left to Sammy Watkins for 13 yards (tackle by Rashaan Melvin),0.330,1.600
1,13:58,1,10,LAR 40,0,0,Jared Goff pass complete short right to Robert Woods for 21 yards (tackle by Rashaan Melvin),1.600,2.980
1,13:31,1,10,IND 39,0,0,Jared Goff pass incomplete short right intended for Tyler Higbee,2.980,2.440
1,13:27,2,10,IND 39,0,0,Jared Goff pass complete short left to Sammy Watkins for 7 yards (tackle by Rashaan Melvin),2.440,2.680
1,12:53,3,3,IND 32,0,0,Jared Goff pass incomplete short left intended for Cooper Kupp,2.680,1.290
1,12:48,4,3,IND 32,0,3,Greg Zuerlein 50 yard field goal good,1.290,3.000
1,12:43,,,LAR 35,0,3,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
1,12:43,1,10,IND 25,0,3,Frank Gore middle for 2 yards (tackle by Maurice Alexander and Michael Brockers),0.610,0.330
1,12:05,2,8,IND 27,0,3,Frank Gore right guard for -2 yards (tackle by Tyrunn Walker),0.330,-0.620
1,11:21,3,10,IND 25,0,9,"Scott Tolzien pass incomplete short left intended for T.Y. Hilton is intercepted by Trumaine Johnson at IND-39 and returned for 39 yards, touchdown",-0.620,-7.000
1,,,,IND 15,0,10,Greg Zuerlein kicks extra point good,,
1,11:10,,,LAR 35,0,10,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
1,11:10,1,10,IND 25,0,10,"Scott Tolzien pass incomplete short left intended for Frank Gore (defended by Matt Longacre). Penalty on Mark Barron: Defensive Holding, 5 yards (no play)",0.610,0.940
1,11:04,1,10,IND 30,0,10,Frank Gore left guard for 4 yards (tackle by Connor Barwin and Ethan Westbrooks),0.940,0.930
1,10:26,2,6,IND 34,0,10,Scott Tolzien pass complete short right to Jack Doyle for 21 yards (tackle by Alec Ogletree),0.930,2.590
1,9:52,1,10,LAR 45,0,10,Scott Tolzien pass complete short left to Jack Doyle for 20 yards (tackle by Maurice Alexander and Alec Ogletree),2.590,3.910
1,9:14,1,10,LAR 25,0,10,Frank Gore right tackle for 8 yards (tackle by Alec Ogletree),3.910,4.550
1,8:37,2,2,LAR 17,0,10,"Penalty on Denzelle Good: False Start, 5 yards (no play)",4.550,3.770
1,8:18,2,7,LAR 22,0,10,Scott Tolzien pass complete short right to Marlon Mack for 21 yards (tackle by Lamarcus Joyner),3.770,6.970
1,7:46,1,1,LAR 1,0,10,Marlon Mack middle for -1 yards (tackle by Michael Brockers),6.970,5.720
1,7:06,2,2,LAR 2,0,10,Marlon Mack middle for no gain (tackle by Michael Brockers),5.720,4.950
1,6:29,3,2,LAR 2,0,10,Scott Tolzien pass incomplete short right intended for Donte Moncrief,4.950,3.250
1,6:25,4,2,LAR 2,3,10,Adam Vinatieri 20 yard field goal good,3.250,3.000
1,6:21,,,IND 35,3,10,"Rigoberto Sanchez kicks off 65 yards, touchback",0.000,-0.610
1,6:21,1,10,LAR 25,3,10,Todd Gurley right guard for 3 yards (tackle by Al Woods),0.610,0.470
1,5:47,2,7,LAR 28,3,10,Todd Gurley right guard for 4 yards (tackle by Johnathan Hankins),0.470,0.300
1,5:18,3,3,LAR 32,3,10,Jared Goff pass complete short right to Cooper Kupp for 6 yards (tackle by Darius Butler),0.300,1.470
1,4:41,1,10,LAR 38,3,10,Tavon Austin for 9 yards (tackle by Jonathan Bostic),1.470,2.140
1,4:09,2,1,LAR 47,3,10,Todd Gurley middle for no gain (tackle by Jonathan Bostic),2.140,1.420
1,3:33,3,1,LAR 47,3,10,"Todd Gurley right end for 7 yards (tackle by Darius Butler). Penalty on Rob Havenstein: Offensive Holding, 10 yards",1.420,1.020
1,3:09,3,4,LAR 44,3,10,"Penalty on Tyler Higbee: False Start, 5 yards (no play)",1.020,0.370
1,2:51,3,9,LAR 39,3,10,Jared Goff pass complete short middle to Todd Gurley for 4 yards (tackle by Jonathan Bostic),0.370,-0.520
1,2:14,4,5,LAR 43,3,10,"Johnny Hekker punts 44 yards, returned by Quan Bray for no gain. Penalty on Christopher Milton: Illegal Block Above the Waist, 6 yards",-0.520,0.380
1,2:03,1,10,IND 7,3,10,Frank Gore left tackle for 16 yards (tackle by Lamarcus Joyner),-0.380,0.480
1,1:26,1,10,IND 23,3,10,Frank Gore left guard for 2 yards (tackle by Michael Brockers),0.480,0.200
1,0:46,2,8,IND 25,3,10,"Scott Tolzien pass complete short left to T.Y. Hilton for 9 yards (tackle by Trumaine Johnson). T.Y. Hilton fumbles (forced by Trumaine Johnson), recovered by Trumaine Johnson at IND-34 (tackle by Donte Moncrief)",0.200,-3.310
1,0:36,1,10,IND 34,3,10,"Penalty on Andrew Whitworth: False Start, 5 yards (no play)",3.310,2.980
1,0:36,1,15,IND 39,3,10,Todd Gurley left end for -3 yards (tackle by Al Woods),2.980,1.690
Quarter,Time,Down,ToGo,Location,IND,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,18,IND 42,3,10,"Penalty on John Sullivan: False Start, 5 yards (no play)",1.690,1.020
2,15:00,2,23,IND 47,3,10,Tavon Austin right end for 2 yards (tackle by T.J. Green),1.020,0.630
2,14:16,3,21,IND 45,3,10,Jared Goff pass incomplete short right intended for Todd Gurley. Penalty on Jamon Brown: Offensive Holding (Declined),0.630,0.270
2,14:09,4,21,IND 45,3,10,"Johnny Hekker punts 38 yards, out of bounds",0.270,0.380
2,14:02,1,10,IND 7,3,10,Scott Tolzien pass complete short right to T.Y. Hilton for 16 yards (tackle by Trumaine Johnson),-0.380,0.480
2,13:31,1,10,IND 23,3,10,Frank Gore right tackle for 2 yards (tackle by Mark Barron),0.480,0.200
2,12:51,2,8,IND 25,3,10,Scott Tolzien middle for 3 yards (tackle by Tanzel Smart),0.200,-0.100
2,12:08,3,5,IND 28,3,10,Scott Tolzien pass incomplete deep right intended for Kamar Aiken (defended by Lamarcus Joyner),-0.100,-1.500
2,12:01,4,5,IND 28,3,10,"Rigoberto Sanchez punts 49 yards, returned by Tavon Austin for 8 yards (tackle by John Simon)",-1.500,-1.000
2,11:49,1,10,LAR 31,3,10,Jared Goff pass complete deep left to Cooper Kupp for 24 yards (tackle by Matthias Farley),1.000,2.590
2,11:06,1,10,IND 45,3,10,Jared Goff pass incomplete short right intended for Robert Woods,2.590,2.040
2,10:58,2,10,IND 45,3,10,Jared Goff pass complete deep left to Gerald Everett for 39 yards (tackle by Jonathan Bostic),2.040,5.150
2,9:44,2,5,IND 5,3,16,"Todd Gurley middle for 5 yards, touchdown",5.150,7.000
2,9:37,,,IND 15,3,17,Greg Zuerlein kicks extra point good,0.000,0.000
2,9:37,,,LAR 35,3,17,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
2,9:37,1,10,IND 25,3,17,"Scott Tolzien for no gain. Scott Tolzien fumbles, recovered by Scott Tolzien at IND-18",0.610,-0.980
2,8:52,2,17,IND 18,3,17,Marlon Mack left guard for no gain (tackle by Tanzel Smart),-0.980,-1.720
2,8:13,3,17,IND 18,3,17,Scott Tolzien pass complete short left to Robert Turbin for -4 yards (tackle by Robert Quinn),-1.720,-2.470
