#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,12:43,IND 25,3,1:33,0,Interception
2,1,11:10,IND 25,9,4:49,73,Field Goal
3,1,2:03,IND 7,3,1:27,27,Fumble
4,2,14:02,IND 7,4,2:13,21,Punt
5,2,9:37,IND 25,3,2:08,-11,Punt
6,2,5:20,IND 25,5,2:12,35,Downs
7,2,0:17,IND 25,1,0:17,-1,End of Half
8,3,15:00,IND 25,4,1:32,9,Punt
9,3,13:28,LAR 24,4,1:25,4,Missed FG
10,3,7:23,IND 25,1,0:08,0,Interception
11,3,7:15,IND 25,3,1:45,-14,Punt
12,3,4:17,IND 6,3,1:40,1,Punt
13,4,14:13,IND 16,5,2:41,84,Touchdown
14,4,9:29,IND 10,0,0:11,-10,Safety
15,4,4:28,IND 25,3,1:34,7,Punt
