Unnamed: 0,CIN,PIT
First Downs,17,16
Rush-Yds-TDs,16-59-0,30-113-2
Cmp-Att-Yd-TD-INT,28-42-335-1-3,17-27-290-2-0
Sacked-Yards,3-26,1-6
Net Pass Yards,309,284
Total Yards,368,397
Fumbles-Lost,1-0,1-0
Turnovers,3,0
Penalties-Yards,3-20,2-15
Third Down Conv.,6-13,7-14
Fourth Down Conv.,0-2,0-0
Time of Possession,31:49,28:11
