Quarter,Time,Tm,Detail,DAL,BAL
1.0,4:21,Cowboys,Greg Zuerlein 31 yard field goal,3,0
,0:25,Ravens,Lamar Jackson 37 yard rush (Justin Tucker kick),3,7
2.0,14:19,Cowboys,Michael Gallup 13 yard pass from Andy Dalton (Greg Zuerlein kick),10,7
,8:08,Ravens,Miles Boykin 38 yard pass from Lamar Jackson (Justin Tucker kick),10,14
,0:46,Ravens,Justin Tucker 35 yard field goal,10,17
3.0,4:40,Ravens,Marquise Brown 20 yard pass from Lamar Jackson (Justin Tucker kick),10,24
4.0,8:15,Ravens,Justin Tucker 22 yard field goal,10,27
,3:59,Cowboys,Amari Cooper 2 yard pass from Andy Dalton (Greg Zuerlein kick),17,27
,2:08,Ravens,J.K. Dobbins 5 yard rush (Justin Tucker kick),17,34
