Quarter,Time,Tm,Detail,IND,TEN
1.0,8:53,Colts,Eric Ebron 3 yard pass from Jacoby Brissett (Adam Vinatieri kick),7,0
2.0,14:55,Titans,David Quessenberry 1 yard pass from Marcus Mariota (Cairo Santos kick),7,7
,8:00,Colts,Parris Campbell 12 yard pass from Jacoby Brissett (Adam Vinatieri kick failed),13,7
3.0,11:31,Titans,Derrick Henry 1 yard rush (Cairo Santos kick),13,14
,4:35,Titans,Cairo Santos 49 yard field goal,13,17
4.0,4:38,Colts,T.Y. Hilton 4 yard pass from Jacoby Brissett (Adam Vinatieri kick failed),19,17
