Unnamed: 0,IND,TEN
First Downs,21,18
Rush-Yds-TDs,34-167-0,24-124-1
Cmp-Att-Yd-TD-INT,17-28-146-3-1,19-28-154-1-0
Sacked-Yards,3-25,4-35
Net Pass Yards,121,119
Total Yards,288,243
Fumbles-Lost,1-1,2-0
Turnovers,2,0
Penalties-Yards,8-65,5-75
Third Down Conv.,7-14,1-10
Fourth Down Conv.,1-1,0-1
Time of Possession,31:54,28:06
