Quarter,Time,Tm,Detail,BAL,CIN
1.0,8:22,Bengals,Evan McPherson 39 yard field goal,0,3
2.0,14:56,Bengals,Ja'Marr Chase 7 yard pass from Joe Burrow (Evan McPherson kick failed),0,9
,4:53,Ravens,J.K. Dobbins 2 yard pass from Tyler Huntley (Justin Tucker kick),7,9
,0:07,Ravens,Justin Tucker 22 yard field goal,10,9
3.0,5:02,Bengals,Joe Burrow 1 yard rush (Tee Higgins pass from Joe Burrow),10,17
,2:13,Ravens,Demarcus Robinson 41 yard pass from Tyler Huntley (Justin Tucker kick),17,17
4.0,11:39,Bengals,Sam Hubbard 98 yard fumble return (Evan McPherson kick),17,24
