Unnamed: 0,CIN,PIT
First Downs,9,18
Rush-Yds-TDs,18-125-0,20-65-0
Cmp-Att-Yd-TD-INT,12-24-95-0-0,31-45-287-1-1
Sacked-Yards,4-24,1-9
Net Pass Yards,71,278
Total Yards,196,343
Fumbles-Lost,2-0,1-0
Turnovers,0,1
Penalties-Yards,9-85,9-70
Third Down Conv.,3-12,5-15
Fourth Down Conv.,0-1,2-2
Time of Possession,25:38,34:22
