Quarter,Time,Tm,Detail,BUF,MIA
1.0,11:49,Bills,Charles Clay 25 yard pass from Tyrod Taylor (Dan Carpenter kick),7,0
,6:03,Bills,LeSean McCoy 10 yard pass from Tyrod Taylor (Dan Carpenter kick),14,0
2.0,11:40,Bills,Dan Carpenter 26 yard field goal,17,0
,1:44,Bills,Preston Brown 43 yard interception return (Dan Carpenter kick),24,0
,0:03,Bills,Dan Carpenter 51 yard field goal,27,0
3.0,5:39,Dolphins,Rishard Matthews 21 yard pass from Ryan Tannehill (Jarvis Landry pass from Ryan Tannehill),27,8
4.0,14:53,Bills,Chris Hogan 38 yard pass from Tyrod Taylor (Dan Carpenter kick),34,8
,7:56,Dolphins,Rishard Matthews 46 yard pass from Ryan Tannehill (Andrew Franks kick failed),34,14
,6:46,Bills,Karlos Williams 41 yard rush (Dan Carpenter kick),41,14
