Unnamed: 0,BUF,MIA
First Downs,21,21
Rush-Yds-TDs,34-151-1,20-102-0
Cmp-Att-Yd-TD-INT,21-29-277-3-0,26-49-297-2-3
Sacked-Yards,0-0,2-8
Net Pass Yards,277,289
Total Yards,428,391
Fumbles-Lost,0-0,1-0
Turnovers,0,3
Penalties-Yards,5-40,6-36
Third Down Conv.,7-13,4-13
Fourth Down Conv.,0-0,1-4
Time of Possession,31:53,28:07
