Unnamed: 0,HOU,PIT
First Downs,20,18
Rush-Yds-TDs,30-132-0,25-76-0
Cmp-Att-Yd-TD-INT,21-32-262-2-1,24-34-268-3-0
Sacked-Yards,1-1,3-16
Net Pass Yards,261,252
Total Yards,393,328
Fumbles-Lost,3-2,1-1
Turnovers,3,1
Penalties-Yards,4-20,6-38
Third Down Conv.,4-12,5-14
Fourth Down Conv.,2-2,0-0
Time of Possession,27:54,32:06
