Quarter,Time,Tm,Detail,HOU,PIT
1.0,5:55,Texans,Alfred Blue 11 yard pass from Ryan Fitzpatrick (Randy Bullock kick),7,0
2.0,13:34,Texans,Randy Bullock 39 yard field goal,10,0
,7:16,Texans,Randy Bullock 38 yard field goal,13,0
,3:08,Steelers,Shaun Suisham 44 yard field goal,13,3
,1:27,Steelers,Martavis Bryant 35 yard pass from Ben Roethlisberger (Shaun Suisham kick),13,10
,1:03,Steelers,Lance Moore 3 yard pass from Antonio Brown (Shaun Suisham kick),13,17
,0:14,Steelers,Le'Veon Bell 2 yard pass from Ben Roethlisberger (Shaun Suisham kick),13,24
4.0,11:47,Texans,Randy Bullock 31 yard field goal,16,24
,5:50,Steelers,Shaun Suisham 30 yard field goal,16,27
,3:04,Steelers,Shaun Suisham 40 yard field goal,16,30
,1:31,Texans,Arian Foster 1 yard pass from Ryan Fitzpatrick (Randy Bullock kick),23,30
