Quarter,Time,Down,ToGo,Location,HOU,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,HOU 35,0,0,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,PIT 20,0,0,Ben Roethlisberger right guard for 5 yards (tackle by D.J. Swearinger),0.280,0.410
1,14:23,2,5,PIT 25,0,0,Ben Roethlisberger pass incomplete short right intended for Antonio Brown (defended by Ryan Pickett),0.410,-0.300
1,14:20,3,5,PIT 25,0,0,Ben Roethlisberger pass complete short left to Le'Veon Bell for 5 yards (tackle by Kendrick Lewis),-0.300,0.940
1,13:41,1,10,PIT 30,0,0,Le'Veon Bell up the middle for 4 yards (tackle by Brooks Reed),0.940,0.930
1,13:05,2,6,PIT 34,0,0,Ben Roethlisberger pass complete short middle to Le'Veon Bell for 10 yards (tackle by Jared Crick),0.930,1.860
1,12:22,1,10,PIT 44,0,0,Le'Veon Bell right guard for 2 yards (tackle by J.J. Watt),1.860,1.590
1,11:45,2,8,PIT 46,0,0,Ben Roethlisberger pass incomplete deep left intended for Martavis Bryant,1.590,0.890
1,11:36,3,8,PIT 46,0,0,Ben Roethlisberger pass incomplete short left intended for Markus Wheaton,0.890,-0.320
1,11:34,4,8,PIT 46,0,0,Brad Wing punts 48 yards,-0.320,0.380
1,11:24,1,10,HOU 6,0,0,Arian Foster left guard for 3 yards (tackle by Jason Worilds),-0.380,-0.560
1,10:45,2,7,HOU 9,0,0,Arian Foster left tackle for 1 yard (tackle by Jason Worilds),-0.560,-0.950
1,10:03,3,6,HOU 10,0,0,Ryan Fitzpatrick pass complete short right to Damaris Johnson for 15 yards (tackle by Troy Polamalu),-0.950,0.610
1,9:32,1,10,HOU 25,0,0,Arian Foster right tackle for 11 yards (tackle by Michael Mitchell),0.610,1.330
1,9:01,1,10,HOU 36,0,0,Ryan Fitzpatrick up the middle for 2 yards (tackle by Arthur Moats),1.330,1.060
1,8:24,2,8,HOU 38,0,0,Arian Foster right end for 11 yards (tackle by Lawrence Timmons),1.060,2.190
1,8:07,1,10,HOU 49,0,0,Alfred Blue left tackle for 3 yards (tackle by James Harrison),2.190,2.050
1,7:31,2,7,PIT 48,0,0,Ryan Fitzpatrick pass complete short left to Andre Johnson for 4 yards (tackle by William Gay),2.050,1.880
1,6:50,3,3,PIT 44,0,0,Arian Foster right guard for 33 yards (tackle by Troy Polamalu),1.880,4.840
1,6:01,1,10,PIT 11,6,0,"Ryan Fitzpatrick pass complete short middle to Alfred Blue for 11 yards, touchdown",4.840,7.000
1,6:01,,,PIT 2,7,0,Randy Bullock kicks extra point good,0.000,0.000
1,6:01,,,HOU 35,7,0,"Randy Bullock kicks off 65 yards, touchback",0.000,-0.280
1,5:55,1,10,PIT 20,7,0,Le'Veon Bell right tackle for 1 yard (tackle by Mike Mohamed and Ryan Pickett),0.280,-0.130
1,5:25,2,9,PIT 21,7,0,Le'Veon Bell right tackle for 4 yards (tackle by Jared Crick),-0.130,-0.300
1,4:59,3,5,PIT 25,7,0,Ben Roethlisberger pass complete short right to Antonio Brown for 12 yards (tackle by Johnathan Joseph). Penalty on Johnathan Joseph: Defensive Holding (Declined),-0.300,1.400
1,4:42,1,10,PIT 37,7,0,Ben Roethlisberger pass complete short left to Antonio Brown for 9 yards (tackle by D.J. Swearinger),1.400,2.070
1,4:15,2,1,PIT 46,7,0,Le'Veon Bell up the middle for 5 yards (tackle by Jerrell Powe),2.070,2.320
1,3:40,1,10,HOU 49,7,0,Le'Veon Bell left guard for -2 yards (tackle by Whitney Mercilus and Mike Mohamed),2.320,1.510
1,3:10,2,12,PIT 49,7,0,Ben Roethlisberger pass complete short left to Le'Veon Bell for 3 yards (tackle by Kendrick Lewis),1.510,1.220
1,2:29,3,9,HOU 48,7,0,"Ben Roethlisberger sacked by Whitney Mercilus for -6 yards. Ben Roethlisberger fumbles (forced by Whitney Mercilus), recovered by J.J. Watt at PIT-46 (tackle by David DeCastro)",1.220,-2.520
1,2:20,1,10,PIT 46,7,0,Ryan Fitzpatrick pass incomplete deep left intended for Andre Johnson,2.520,1.980
1,2:15,2,10,PIT 46,7,0,Arian Foster right tackle for 5 yards (tackle by James Harrison),1.980,1.950
1,1:31,3,5,PIT 41,7,0,Ryan Fitzpatrick pass complete short right to Garrett Graham for 6 yards (tackle by Sean Spence),1.950,3.250
1,0:57,1,10,PIT 35,7,0,Arian Foster right tackle for 9 yards (tackle by Michael Mitchell),3.250,3.920
1,0:29,2,1,PIT 26,7,0,Alfred Blue up the middle for 3 yards (tackle by Lawrence Timmons),3.920,4.040
Quarter,Time,Down,ToGo,Location,HOU,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PIT 23,7,0,Alfred Blue right tackle for no gain (tackle by Arthur Moats),4.040,3.500
2,14:26,2,10,PIT 23,7,0,Arian Foster up the middle for 2 yards (tackle by Lawrence Timmons and Brice McCain),3.500,3.070
2,13:44,3,8,PIT 21,7,0,Ryan Fitzpatrick pass incomplete short right intended for Arian Foster,3.070,2.060
2,13:34,4,8,PIT 21,10,0,Randy Bullock 39 yard field goal good,2.060,3.000
2,13:34,,,HOU 35,10,0,"Randy Bullock kicks off 62 yards, returned by Dri Archer for 13 yards (tackle by A.J. Bouye)",0.000,0.140
2,13:28,1,10,PIT 16,10,0,LeGarrette Blount up the middle for no gain (tackle by Ryan Pickett and Justin Tuggle),-0.140,-0.660
2,12:48,2,10,PIT 16,10,0,LeGarrette Blount up the middle for 2 yards (tackle by Justin Tuggle),-0.660,-1.070
2,12:11,3,8,PIT 18,10,0,Ben Roethlisberger pass incomplete deep right intended for Markus Wheaton,-1.070,-2.240
2,12:05,4,8,PIT 18,10,0,"Brad Wing punts 54 yards, returned by Keshawn Martin for 1 yard (tackle by Antwon Blake)",-2.240,-0.870
2,11:56,1,10,HOU 29,10,0,Arian Foster left guard for 4 yards (tackle by Cameron Heyward),0.870,0.870
2,11:18,2,6,HOU 33,10,0,Ryan Fitzpatrick pass complete deep right to DeAndre Hopkins for 23 yards (tackle by Cortez Allen),0.870,2.650
2,10:47,1,10,PIT 44,10,0,Arian Foster left end for -1 yards (tackle by Lawrence Timmons),2.650,1.980
2,10:20,2,11,PIT 45,10,0,Ryan Fitzpatrick pass complete short middle to Keshawn Martin for 5 yards (tackle by Lawrence Timmons),1.980,1.950
2,9:36,3,6,PIT 40,10,0,Ryan Fitzpatrick left tackle for 5 yards (tackle by Lawrence Timmons),1.950,1.000
2,9:00,4,1,PIT 35,10,0,Arian Foster left tackle for 11 yards (tackle by Michael Mitchell),1.000,3.970
2,8:37,1,10,PIT 24,10,0,Alfred Blue right tackle for 1 yard (tackle by Lawrence Timmons and Sean Spence),3.970,3.570
2,8:04,2,9,PIT 23,10,0,Ryan Fitzpatrick pass incomplete deep right intended for DeAndre Hopkins,3.570,2.870
2,7:59,3,9,PIT 23,10,0,Ryan Fitzpatrick pass complete short right to Arian Foster for 3 yards (tackle by Vince Williams),2.870,2.150
2,7:20,4,6,PIT 20,13,0,Randy Bullock 38 yard field goal good,2.150,3.000
2,7:20,,,HOU 35,13,0,"Randy Bullock kicks off 64 yards, returned by LeGarrette Blount for 13 yards (tackle by Jonathan Grimes)",0.000,0.280
2,7:10,1,10,PIT 14,13,0,Ben Roethlisberger sacked by J.J. Watt for -9 yards,-0.280,-1.440
2,6:27,2,19,PIT 5,13,0,Ben Roethlisberger pass complete short left to Antonio Brown for 4 yards (tackle by Kendrick Lewis and Whitney Mercilus),-1.440,-2.010
2,5:48,3,15,PIT 9,13,0,"Ben Roethlisberger pass incomplete short middle intended for Antonio Brown (defended by Brian Cushing). Penalty on J.J. Watt: Defensive Offside, 5 yards (no play)",-2.010,-1.400
2,5:42,3,10,PIT 14,13,0,Ben Roethlisberger pass complete short middle to Le'Veon Bell for 43 yards (tackle by Danieal Manning),-1.400,-1.400
2,5:05,3,10,PIT 14,13,0,Timeout #1 by Pittsburgh Steelers,-1.400,2.720
2,5:04,1,10,HOU 43,13,0,Ben Roethlisberger pass complete short right to Heath Miller for 13 yards (tackle by Johnathan Joseph),2.720,3.580
2,4:37,1,10,HOU 30,13,0,Le'Veon Bell up the middle for 5 yards (tackle by Jared Crick),3.580,3.710
2,3:56,2,5,HOU 25,13,0,Ben Roethlisberger pass incomplete short right intended for Will Johnson,3.710,3.010
2,3:50,3,5,HOU 25,13,0,Ben Roethlisberger sacked by Whitney Mercilus for -1 yards,3.010,1.760
2,3:13,4,6,HOU 26,13,3,Shaun Suisham 44 yard field goal good,1.760,3.000
2,3:13,,,PIT 35,13,3,"Shaun Suisham kicks off 65 yards, touchback",0.000,-0.280
2,3:08,1,10,HOU 20,13,3,Arian Foster right tackle for 2 yards (tackle by Cameron Heyward),0.280,0.000
2,2:28,2,8,HOU 22,13,3,Ryan Fitzpatrick sacked by Lawrence Timmons for -1 yards,0.000,-0.820
2,2:00,3,9,HOU 21,13,3,Ryan Fitzpatrick pass incomplete short right intended for DeAndre Hopkins (defended by Brett Keisel),-0.820,-1.960
2,1:56,4,9,HOU 21,13,3,"Shane Lechler punts 51 yards, returned by Antonio Brown for 9 yards (tackle by Alfred Blue)",-1.960,-1.400
2,1:46,1,10,PIT 37,13,3,Ben Roethlisberger pass complete short left to Le'Veon Bell for 28 yards (tackle by Mike Mohamed),1.400,3.250
2,1:36,1,10,HOU 35,13,9,"Ben Roethlisberger pass complete deep right to Martavis Bryant for 35 yards, touchdown",3.250,7.000
2,1:36,,,HOU 2,13,10,Shaun Suisham kicks extra point good,0.000,0.000
2,1:36,,,PIT 35,13,10,"Shaun Suisham kicks off 67 yards, returned by Danieal Manning for 3 yards. Danieal Manning fumbles, recovered by Danieal Manning at HOU-1",0.000,0.380
2,1:22,1,10,HOU 5,13,10,Ryan Fitzpatrick pass complete short right to Arian Foster for 1 yard (tackle by Cameron Heyward),-0.380,-0.380
2,1:14,1,10,HOU 5,13,10,Timeout #2 by Pittsburgh Steelers,-0.380,-0.710
2,1:14,2,9,HOU 6,13,10,"Arian Foster up the middle for -3 yards (tackle by Jason Worilds). Arian Foster fumbles (forced by Jason Worilds), recovered by Sean Spence at HOU-3",-0.710,-6.510
,,,,,,,"Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned.",,
2,1:10,1,3,HOU 3,13,16,"Antonio Brown pass complete short left to Lance Moore for 3 yards, touchdown",6.510,7.000
2,1:10,,,HOU 2,13,17,Shaun Suisham kicks extra point good,0.000,0.000
2,1:10,,,PIT 35,13,17,"Shaun Suisham kicks off 65 yards, touchback",0.000,-0.280
2,1:03,1,10,HOU 20,13,17,Ryan Fitzpatrick pass incomplete short middle intended for Arian Foster is intercepted by Brett Keisel at HOU-24 and returned for 16 yards,0.280,-5.370
2,0:58,1,8,HOU 8,13,17,Ben Roethlisberger pass complete short right to Antonio Brown for 6 yards (tackle by Andre Hal),5.370,5.720
2,0:18,2,2,HOU 2,13,23,"Ben Roethlisberger pass complete short right to Le'Veon Bell for 2 yards, touchdown",5.720,7.000
2,0:18,,,HOU 2,13,24,Shaun Suisham kicks extra point good,0.000,0.000
2,0:18,,,PIT 35,13,24,"Shaun Suisham kicks off 65 yards, touchback",0.000,-0.280
2,0:14,1,10,HOU 20,13,24,Ryan Fitzpatrick kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,HOU,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,13,24,"Shaun Suisham kicks off 65 yards, returned by Danieal Manning for 25 yards (tackle by Terence Garvin)",0.000,0.610
3,14:52,1,10,HOU 25,13,24,Ryan Fitzpatrick pass complete short left to C.J. Fiedorowicz for 9 yards (tackle by Sean Spence),0.610,1.280
3,14:22,2,1,HOU 34,13,24,Arian Foster up the middle for no gain (tackle by Sean Spence),1.280,0.560
3,13:59,3,1,HOU 34,13,24,Arian Foster left tackle for no gain (tackle by Lawrence Timmons),0.560,-1.110
3,13:28,4,1,HOU 34,13,24,"Shane Lechler punts 44 yards, returned by Antonio Brown for 12 yards (tackle by Mike Mohamed)",-1.110,-1.200
3,13:17,1,10,PIT 34,13,24,Le'Veon Bell left guard for 5 yards (tackle by Brian Cushing and Johnathan Joseph),1.200,1.330
3,12:40,2,5,PIT 39,13,24,Ben Roethlisberger pass complete short left to Le'Veon Bell for 3 yards (tackle by Justin Tuggle),1.330,1.030
3,11:54,3,2,PIT 42,13,24,Ben Roethlisberger pass complete short left to LeGarrette Blount for 8 yards (tackle by Kareem Jackson),1.030,2.260
3,11:14,1,10,PIT 50,13,24,Ben Roethlisberger pass incomplete deep middle intended for Antonio Brown,2.260,1.710
3,11:06,2,10,PIT 50,13,24,Dri Archer left guard for 9 yards (tackle by Johnathan Joseph),1.710,2.210
3,10:23,3,1,HOU 41,13,24,LeGarrette Blount up the middle for no gain (tackle by Kendrick Lewis),2.210,0.530
3,10:23,4,1,HOU 41,13,24,"Penalty on Ben Roethlisberger: Delay of Game, 5 yards (no play)",0.530,0.200
3,9:35,4,6,HOU 46,13,24,Brad Wing punts 39 yards,0.200,0.380
3,9:23,1,10,HOU 7,13,24,Ryan Fitzpatrick pass complete deep left to DeAndre Hopkins for 21 yards (tackle by William Gay),-0.380,0.810
3,8:56,1,10,HOU 28,13,24,Arian Foster left tackle for 7 yards (tackle by Cam Thomas),0.810,1.210
3,8:24,2,3,HOU 35,13,24,Arian Foster right guard for 2 yards (tackle by Cam Thomas and Jason Worilds),1.210,0.760
3,7:44,3,1,HOU 37,13,24,Arian Foster right tackle for no gain (tackle by Lawrence Timmons),0.760,-0.910
3,7:13,4,1,HOU 37,13,24,Alfred Blue up the middle for 7 yards (tackle by Arthur Moats and Darrius Heyward-Bey),-0.910,1.860
3,6:34,1,10,HOU 44,13,24,Ryan Fitzpatrick pass complete short left to DeAndre Hopkins for 11 yards (tackle by William Gay),1.860,2.590
3,5:56,1,10,PIT 45,13,24,Ryan Fitzpatrick pass complete short left to DeAndre Hopkins for 5 yards (tackle by William Gay),2.590,2.720
3,5:30,2,5,PIT 40,13,24,"Penalty on C.J. Fiedorowicz: False Start, 5 yards (no play)",2.720,2.040
