Unnamed: 0,ARI,BAL
First Downs,17,23
Rush-Yds-TDs,14-61-0,30-129-0
Cmp-Att-Yd-TD-INT,24-40-311-2-0,28-37-281-1-0
Sacked-Yards,1-8,4-29
Net Pass Yards,303,252
Total Yards,364,381
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,6-65,5-40
Third Down Conv.,4-12,12-18
Fourth Down Conv.,0-0,0-0
Time of Possession,22:17,37:43
