Quarter,Time,Down,ToGo,Location,ARI,BAL,Detail,EPB,EPA
2,11:34,3,11,ARI 13,0,3,Steve McNair pass complete short right to Mark Clayton for 3 yards (tackle by Antrel Rolle),3.100,2.760
2,10:56,4,8,ARI 10,0,6,Matt Stover 28 yard field goal good,2.760,3.000
2,,,,BAL 30,0,6,"Matt Stover kicks off 71 yards, returned by Steve Breaston for 33 yards (tackle by Prescott Burgess)",0.000,1.070
2,10:46,1,10,ARI 32,0,6,Edgerrin James up the middle for 1 yard (tackle by Bart Scott and Haloti Ngata),1.070,0.660
2,10:05,2,9,ARI 33,0,6,Edgerrin James up the middle for 2 yards (tackle by Ray Lewis),0.660,0.230
2,9:22,3,7,ARI 35,0,6,Matt Leinart pass incomplete deep left intended for Bryant Johnson,0.230,-1.040
2,9:16,4,7,ARI 35,0,6,"Mike Barr punts 37 yards, returned by Yamon Figurs for 4 yards. Penalty on Devard Darling: Offensive Holding, 10 yards",-1.040,-0.040
2,9:07,1,10,BAL 18,0,6,Steve McNair left end for 13 yards (tackle by Eric Green),0.040,1.000
2,8:26,1,10,BAL 31,0,6,Steve McNair pass incomplete short left intended for Le'Ron McClain,1.000,0.460
2,8:22,2,10,BAL 31,0,6,Steve McNair pass complete short right to Willis McGahee for -1 yards (tackle by Gerald Hayes),0.460,-0.360
2,7:45,3,11,BAL 30,0,6,Steve McNair pass complete short right to Musa Smith for 7 yards (tackle by Gabe Watson),-0.360,-0.910
2,7:04,4,4,BAL 37,0,6,"Sam Koch punts 57 yards, returned by Steve Breaston for 13 yards (tackle by Matt Katula)",-0.910,-0.150
2,6:55,1,10,ARI 19,0,6,Kurt Warner pass complete short left to Anquan Boldin for 37 yards (tackle by Ed Reed),0.150,2.650
2,6:24,1,10,BAL 44,0,6,Kurt Warner pass complete short middle to Larry Fitzgerald for 13 yards (tackle by Chris McAlister),2.650,3.510
2,5:58,1,10,BAL 31,0,6,J.J. Arrington up the middle for 1 yard (tackle by Kelly Gregg and Terrell Suggs),3.510,3.100
2,5:30,2,9,BAL 30,0,6,Kurt Warner pass incomplete short right intended for Anquan Boldin,3.100,2.410
2,5:23,3,9,BAL 30,0,6,Kurt Warner pass incomplete short right intended for Anquan Boldin,2.410,1.410
2,5:18,4,9,BAL 30,3,6,Neil Rackers 48 yard field goal good,1.410,3.000
2,,,,ARI 30,3,6,"Neil Rackers kicks off 74 yards, returned by Yamon Figurs for 29 yards (tackle by Antrel Rolle). Penalty on Marcel Shipp: Low Block, 15 yards",0.000,1.600
2,5:08,1,10,BAL 40,3,6,Willis McGahee left tackle for 17 yards (tackle by Terrence Holt),1.600,2.720
2,4:29,1,10,ARI 43,3,6,Steve McNair sacked by Karlos Dansby for -7 yards,2.720,1.230
2,3:53,2,17,BAL 50,3,6,Steve McNair pass complete short right to Willis McGahee for 9 yards (tackle by Gabe Watson),1.230,1.750
2,3:11,3,8,ARI 41,3,6,Steve McNair pass complete deep right to Demetrius Williams for 26 yards (tackle by Roderick Hood),1.750,4.580
2,2:35,1,10,ARI 15,3,6,"Penalty on Demetrius Williams: Delay of Game, 5 yards",4.580,4.240
2,2:10,1,10,ARI 20,3,6,Steve McNair pass incomplete short right intended for Derrick Mason,4.240,3.690
2,2:03,2,10,ARI 20,3,6,Steve McNair pass complete short right to Mark Clayton for 7 yards (tackle by Rodney Bailey),3.690,4.100
2,2:00,3,3,ARI 13,3,12,"Steve McNair pass complete short middle to Derrick Mason for 13 yards, touchdown",4.100,7.000
2,,,,ARI 2,3,13,Matt Stover kicks extra point good,0.000,0.000
2,,,,BAL 30,3,13,"Matt Stover kicks off 70 yards, touchback",0.000,0.280
2,1:55,1,10,ARI 20,3,13,Matt Leinart pass incomplete short left intended for Larry Fitzgerald (defended by Chris McAlister),0.280,-0.270
2,1:50,2,10,ARI 20,3,13,Matt Leinart pass complete short right to Anquan Boldin for 8 yards (tackle by Ronnie Prude),-0.270,0.100
2,1:21,3,2,ARI 28,3,13,Matt Leinart sacked by Corey Ivy for -8 yards,0.100,-2.030
2,1:13,,,,3,13,Timeout #2 by Baltimore Ravens,0.000,-2.030
2,1:13,4,10,ARI 20,3,19,"Mike Barr punts 55 yards, returned by Yamon Figurs for 75 yards, touchdown. Penalty on Devard Darling: Unsportsmanlike Conduct, 15 yards",-2.030,-7.000
2,,,,ARI 2,3,20,Matt Stover kicks extra point good,0.000,0.000
2,,,,BAL 15,3,20,Matt Stover kicks off 57 yards,0.000,2.590
2,0:55,1,10,BAL 45,3,20,Matt Leinart pass incomplete short middle intended for Sean Morey (defended by Dawan Landry),2.590,2.040
2,0:51,2,10,BAL 45,3,20,Matt Leinart pass complete short right to Anquan Boldin for 9 yards (tackle by Jarret Johnson),2.040,2.540
2,0:45,3,1,BAL 36,3,20,Matt Leinart up the middle for 2 yards (tackle by Dawan Landry),2.540,3.310
2,0:40,,,,3,20,Timeout #2 by Arizona Cardinals,0.000,3.310
2,0:40,1,10,BAL 34,3,20,Matt Leinart pass incomplete short middle intended for Sean Morey (defended by Terrell Suggs),3.310,2.770
2,0:37,2,10,BAL 34,3,20,Matt Leinart pass complete short right to Anquan Boldin for 5 yards (tackle by Ronnie Prude),2.770,2.740
2,0:26,,,,3,20,Timeout #3 by Arizona Cardinals,0.000,2.740
2,0:26,3,5,BAL 29,3,20,Matt Leinart pass incomplete short left intended for Anquan Boldin,2.740,1.540
2,0:23,4,5,BAL 29,3,20,Neil Rackers 47 yard field goal no good,1.540,-1.400
2,0:18,1,10,BAL 37,3,20,Steve McNair kneels for -1 yards,1.400,0.720
Quarter,Time,Down,ToGo,Location,ARI,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 30,3,20,"Matt Stover kicks off 65 yards, returned by J.J. Arrington for 21 yards (tackle by Prescott Burgess)",0.000,0.670
3,14:55,1,10,ARI 26,3,20,Matt Leinart pass complete short left to Marcel Shipp for 9 yards (tackle by Chris McAlister),0.670,1.350
3,14:28,2,1,ARI 35,3,20,Edgerrin James up the middle for 1 yard (tackle by Kelly Gregg and Haloti Ngata),1.350,1.330
3,13:59,1,10,ARI 36,3,20,Edgerrin James right tackle for -1 yards (tackle by Terrell Suggs and Bart Scott),1.330,0.660
3,13:25,2,11,ARI 35,3,20,Matt Leinart pass complete short left to Anquan Boldin for 10 yards (tackle by Chris McAlister),0.660,1.290
3,12:50,3,1,ARI 45,3,20,Edgerrin James up the middle for 2 yards (tackle by Kelly Gregg and Ray Lewis),1.290,2.060
3,12:05,1,10,ARI 47,3,20,Matt Leinart pass incomplete short right intended for Larry Fitzgerald (defended by Corey Ivy),2.060,1.520
3,12:01,2,10,ARI 47,3,20,J.J. Arrington up the middle for 2 yards (tackle by Haloti Ngata),1.520,1.090
3,11:19,3,8,ARI 49,3,20,Matt Leinart pass incomplete deep left intended for Larry Fitzgerald,1.090,-0.130
3,11:13,4,8,ARI 49,3,20,"Mike Barr punts 51 yards, touchback",-0.130,-0.280
3,11:02,1,10,BAL 20,3,20,Willis McGahee left guard for 2 yards (tackle by Adrian Wilson),0.280,0.000
3,10:28,2,8,BAL 22,3,20,Steve McNair pass incomplete short right intended for Derrick Mason (defended by Calvin Pace),0.000,-0.690
3,10:24,3,8,BAL 22,3,20,Steve McNair pass complete short left to Derrick Mason for 18 yards (tackle by Eric Green),-0.690,1.600
3,9:44,1,10,BAL 40,3,20,Willis McGahee up the middle for 9 yards (tackle by Eric Green and Gerald Hayes),1.600,2.270
3,9:01,2,1,BAL 49,3,20,Willis McGahee right guard for 1 yard (tackle by Gabe Watson),2.270,2.260
3,8:22,1,10,ARI 50,3,20,"Steve McNair sacked by Darnell Dockett for -15 yards. Steve McNair fumbles (forced by Darnell Dockett), recovered by Bertrand Berry at BAL-35 (tackle by Willis McGahee)",2.260,-3.250
3,8:14,1,10,BAL 35,3,20,Edgerrin James up the middle for 3 yards (tackle by Terrell Suggs and Ray Lewis),3.250,3.110
3,7:37,2,7,BAL 32,3,20,Matt Leinart pass complete short left to J.J. Arrington for 2 yards (tackle by Jarret Johnson),3.110,2.680
3,6:55,3,5,BAL 30,3,20,"Matt Leinart pass incomplete short left intended for Larry Fitzgerald. Penalty on Chris McAlister: Illegal Contact, 5 yards (no play)",2.680,3.910
3,6:51,1,10,BAL 25,3,20,Edgerrin James up the middle for 3 yards (tackle by Ray Lewis),3.910,3.770
3,6:12,2,7,BAL 22,3,20,Matt Leinart pass complete short right to Anquan Boldin for no gain,3.770,3.070
3,5:27,3,7,BAL 22,3,20,Matt Leinart pass incomplete short left intended for J.J. Arrington,3.070,1.990
3,5:23,4,7,BAL 22,6,20,Neil Rackers 40 yard field goal good,1.990,3.000
3,,,,ARI 30,6,20,"Neil Rackers kicks onside 16 yards, recovered by Eric Green (onside kick successful)",0.000,1.990
3,5:17,1,10,ARI 46,6,20,"Kurt Warner pass complete deep middle to Larry Fitzgerald for 27 yards (tackle by Corey Ivy). Larry Fitzgerald fumbles (forced by Corey Ivy), recovered by Corey Ivy at BAL-27 (tackle by Larry Fitzgerald)",1.990,-0.740
3,5:01,1,10,BAL 27,6,20,Willis McGahee right tackle for 7 yards (tackle by Bertrand Berry),0.740,1.140
3,4:20,2,3,BAL 34,6,20,Musa Smith left end for 10 yards (tackle by Eric Green),1.140,1.860
3,3:48,1,10,BAL 44,6,20,Steve McNair pass incomplete short right intended for Todd Heap,1.860,1.320
,,,,,,,"ARI challenged the ruling, and the play was upheld.",,
3,3:41,2,10,BAL 44,6,20,Steve McNair pass complete short left to Musa Smith for 8 yards (tackle by Gerald Hayes),1.320,1.690
3,3:00,3,2,ARI 48,6,20,Steve McNair pass complete short right to Mark Clayton for 8 yards (tackle by Roderick Hood),1.690,2.920
3,2:22,1,10,ARI 40,6,20,Willis McGahee right tackle for 14 yards (tackle by Terrence Holt),2.920,3.840
3,1:38,1,10,ARI 26,6,20,Willis McGahee left guard for 3 yards (tackle by Antonio Smith),3.840,3.700
3,0:58,2,7,ARI 23,6,20,Steve McNair pass incomplete deep right intended for Derrick Mason,3.700,3.010
3,0:53,3,7,ARI 23,6,20,Musa Smith up the middle for -2 yards (tackle by Adrian Wilson),3.010,1.800
3,0:21,4,9,ARI 25,6,23,Matt Stover 43 yard field goal good,1.800,3.000
3,,,,BAL 30,6,23,"Matt Stover kicks off 65 yards, returned by J.J. Arrington for 24 yards (tackle by Jamaine Winborne)",0.000,0.870
3,0:11,1,10,ARI 29,6,23,Kurt Warner pass complete deep left to Anquan Boldin for 30 yards (tackle by Dawan Landry),0.870,2.850
Quarter,Time,Down,ToGo,Location,ARI,BAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
