Quarter,Time,Tm,Detail,HOU,NYG
1.0,7:51,Giants,Lawrence Cager 9 yard pass from Daniel Jones (Graham Gano kick),0,7
2.0,11:27,Texans,Ka'imi Fairbairn 38 yard field goal,3,7
3.0,12:33,Giants,Darius Slayton 54 yard pass from Daniel Jones (Graham Gano kick),3,14
,8:06,Texans,Nico Collins 12 yard pass from Davis Mills (Ka'imi Fairbairn kick),10,14
,2:21,Giants,Saquon Barkley 2 yard rush (Graham Gano kick),10,21
4.0,2:22,Texans,Ka'imi Fairbairn 34 yard field goal,13,21
,1:55,Giants,Graham Gano 49 yard field goal,13,24
,0:07,Texans,Ka'imi Fairbairn 46 yard field goal,16,24
