Quarter,Time,Down,ToGo,Location,HOU,NYG,Detail,EPB,EPA
1,6:14,1,10,NYG 24,0,7,Saquon Barkley right tackle for 1 yard (tackle by Maliek Collins and Roy Lopez),0.540,0.130
1,5:52,2,9,NYG 25,0,7,Daniel Jones pass incomplete short left intended for Kenny Golladay,0.130,-0.560
1,5:46,3,9,NYG 25,0,7,Daniel Jones scrambles up the middle for 5 yards (tackle by Blake Cashman),-0.560,-1.370
1,5:06,4,4,NYG 30,0,7,"Jamie Gillan punts 49 yards, returned by Desmond King for -1 yards (tackle by Cam Brown and Julian Love)",-1.370,-0.280
1,4:55,1,10,HOU 20,0,7,Davis Mills pass incomplete short left intended for Brandin Cooks,0.280,-0.270
1,4:52,2,10,HOU 20,0,7,Dameon Pierce right tackle for no gain (tackle by Jaylon Smith and Leonard Williams),-0.270,-0.960
1,4:06,3,10,HOU 20,0,7,Davis Mills pass complete short left to Phillip Dorsett for 4 yards (tackle by Adoree' Jackson),-0.960,-1.770
1,3:38,4,6,HOU 24,0,7,"Cameron Johnston punts 46 yards, returned by Adoree' Jackson for no gain (tackle by Jalen Reeves-Maybin)",-1.770,-0.940
1,3:26,1,10,NYG 30,0,7,Daniel Jones pass incomplete short right intended for Chris Myarick (defended by Christian Harris),0.940,0.390
1,3:22,2,10,NYG 30,0,7,Daniel Jones pass complete short middle to Isaiah Hodgins for 15 yards (tackle by Christian Harris),0.390,1.930
1,2:51,1,10,NYG 45,0,7,Saquon Barkley right guard for 4 yards (tackle by Tavierre Thomas and Christian Kirksey),1.930,1.920
1,2:21,2,6,NYG 49,0,7,Saquon Barkley right end for 6 yards (tackle by Thomas Booker),1.920,2.590
1,1:43,1,10,HOU 45,0,7,Saquon Barkley left guard for 2 yards (tackle by Tavierre Thomas and Mario Addison),2.590,2.310
1,1:16,2,8,HOU 43,0,7,Daniel Jones scrambles right end for 6 yards (tackle by Ogbonnia Okoronkwo),2.310,2.410
1,0:46,3,2,HOU 37,0,7,Saquon Barkley left tackle for 1 yard (tackle by Jerry Hughes),2.410,0.890
Quarter,Time,Down,ToGo,Location,HOU,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,1,HOU 36,0,7,"Penalty on Jack Anderson: False Start, 4 yards (accepted) (no play)",0.890,0.590
2,15:00,4,5,HOU 40,0,7,"Jamie Gillan punts 40 yards, touchback.",0.590,-0.280
2,14:53,1,10,HOU 20,0,7,Dameon Pierce up the middle for 12 yards (tackle by Jaylon Smith and Julian Love),0.280,1.070
2,14:23,1,10,HOU 32,0,7,Dameon Pierce right tackle for 5 yards (tackle by Tomon Fox and Tae Crowder),1.070,1.200
2,13:38,2,5,HOU 37,0,7,Dameon Pierce right tackle for 44 yards (tackle by Julian Love),1.200,4.310
2,12:57,1,10,NYG 19,0,7,Davis Mills pass complete short left to Brandin Cooks for 1 yard (tackle by Leonard Williams),4.310,3.880
2,12:21,2,9,NYG 18,0,7,Dameon Pierce left guard for -1 yards (tackle by Dexter Lawrence),3.880,3.030
2,11:36,3,10,NYG 19,0,7,Davis Mills pass incomplete short right intended for Chris Moore (defended by Adoree' Jackson),3.030,2.180
2,11:32,4,10,NYG 19,3,7,Ka'imi Fairbairn 38 yard field goal good,2.180,3.000
2,11:27,,,HOU 35,3,7,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
2,11:27,1,10,NYG 25,3,7,Saquon Barkley left tackle for 4 yards (tackle by Jaleel Johnson and Jake Hansen),0.610,0.600
2,10:54,2,6,NYG 29,3,7,Saquon Barkley right end for 27 yards (tackle by Jonathan Owens),0.600,2.650
2,10:10,1,10,HOU 44,3,7,Saquon Barkley left guard for 8 yards (tackle by Eric Murray and Jonathan Owens),2.650,3.190
2,9:42,2,2,HOU 36,3,7,Saquon Barkley up the middle for 1 yard (tackle by Christian Kirksey and Eric Murray),3.190,2.610
2,9:06,3,1,HOU 35,3,7,Matt Breida up the middle for 8 yards (tackle by Jonathan Owens and Rasheem Green),2.610,3.780
2,8:25,1,10,HOU 27,3,7,Wan'Dale Robinson right end for -5 yards (tackle by Kurt Hinish and Jalen Pitre),3.780,2.560
2,7:38,2,15,HOU 32,3,7,Matt Breida right tackle for no gain (tackle by Jalen Pitre and Christian Harris),2.560,1.880
2,7:01,3,15,HOU 32,3,7,Daniel Jones sacked by and Christian Kirksey for -8 yards and Maliek Collins for -8 yards,1.880,0.590
2,6:09,4,23,HOU 40,3,7,Jamie Gillan punts 14 yards downed by Julian Love,0.590,-0.670
2,5:59,1,10,HOU 26,3,7,Dameon Pierce left guard for 3 yards (tackle by Fabian Moreau),0.670,0.540
2,5:15,2,7,HOU 29,3,7,Davis Mills pass complete short left to Brandin Cooks for 5 yards (tackle by Adoree' Jackson),0.540,0.500
2,4:33,3,2,HOU 34,3,7,Dameon Pierce right end for 3 yards (tackle by Darnay Holmes),0.500,1.400
2,3:57,1,10,HOU 37,3,7,Davis Mills pass incomplete short left intended for Dameon Pierce,1.400,0.860
2,3:49,2,10,HOU 37,3,7,"Davis Mills pass complete short left to Dare Ogunbowale for no gain (tackle by Darnay Holmes and Jaylon Smith). Penalty on Oshane Ximines: Defensive Offside, 5 yards (accepted) (no play)",0.860,1.530
2,3:42,2,5,HOU 42,3,7,Dameon Pierce right end for 1 yard (tackle by Micah McFadden and Dexter Lawrence),1.530,0.960
2,2:59,3,4,HOU 43,3,7,Rex Burkhead left guard for 2 yards (tackle by Kayvon Thibodeaux and Leonard Williams),0.960,-0.390
2,2:21,4,2,HOU 45,3,7,Cameron Johnston punts 52 yards downed by Tavierre Thomas,-0.390,0.380
2,2:10,1,10,NYG 3,3,7,"Penalty on Tyre Phillips: False Start, 2 yards (accepted) (no play)",-0.380,-0.460
2,2:10,1,12,NYG 1,3,7,Saquon Barkley up the middle for 3 yards (tackle by Ogbonnia Okoronkwo and Christian Harris),-0.460,-0.710
2,2:00,2,9,NYG 4,3,7,Saquon Barkley up the middle for 7 yards (tackle by Jonathan Owens and Jalen Pitre),-0.710,-0.480
2,1:50,,,,,,Timeout #1 by Houston Texans,,
2,1:50,3,2,NYG 11,3,7,"Daniel Jones pass incomplete short right intended for Darius Slayton. Penalty on Desmond King: Defensive Holding, 5 yards (accepted) (no play)",-0.480,-0.140
2,1:45,1,10,NYG 16,3,7,Daniel Jones pass complete short right to Darius Slayton for 5 yards,-0.140,0.150
2,1:41,2,5,NYG 21,3,7,Daniel Jones pass incomplete short middle intended for Kenny Golladay,0.150,-0.700
2,1:37,3,5,NYG 21,3,7,Daniel Jones pass complete short right to Tanner Hudson for 4 yards (tackle by Jalen Pitre and Christian Harris),-0.700,-1.700
2,1:11,,,,,,Timeout #2 by Houston Texans,,
2,1:11,4,1,NYG 25,3,7,"Jamie Gillan punts 47 yards, returned by Desmond King for 5 yards (tackle by Nick McCloud)",-1.700,-1.140
2,0:59,1,10,HOU 33,3,7,Davis Mills pass incomplete short right intended for Brandin Cooks,1.140,0.590
2,0:54,2,10,HOU 33,3,7,Davis Mills pass complete short left to Rex Burkhead for 13 yards (tackle by Jason Pinnock),0.590,1.990
2,0:48,1,10,HOU 46,3,7,Davis Mills pass incomplete short left intended for Nico Collins,1.990,1.450
2,0:44,2,10,HOU 46,3,7,Davis Mills pass complete short left to Brandin Cooks for 6 yards (tackle by Adoree' Jackson),1.450,1.550
2,0:40,3,4,NYG 48,3,7,"Penalty on Laremy Tunsil: False Start, 5 yards (accepted) (no play)",1.550,0.890
2,0:40,3,9,HOU 47,3,7,"Scott Quessenberry fumbles, recovered by Davis Mills at HOU-47. Penalty on Kenyon Green: Offensive Holding, 10 yards (declined) Davis Mills sacked by Jihad Ward for -5 yards",0.890,-0.590
2,0:31,4,14,HOU 42,3,7,Cameron Johnston punts 41 yards downed by Tavierre Thomas,-0.590,0.060
2,0:23,1,10,NYG 17,3,7,Daniel Jones pass complete short middle to Tanner Hudson for 16 yards (tackle by Christian Kirksey),-0.060,1.140
2,0:15,,,,,,Timeout #1 by New York Giants,,
2,0:15,1,10,NYG 33,3,7,Daniel Jones pass complete short right to Tanner Hudson for 4 yards (tackle by Derek Stingley),1.140,1.130
2,0:08,2,6,NYG 37,3,7,Daniel Jones sacked by Jerry Hughes for -5 yards,1.130,-0.230
Quarter,Time,Down,ToGo,Location,HOU,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,3,7,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,NYG 25,3,7,Saquon Barkley left end for 8 yards (tackle by Christian Kirksey and Kurt Hinish),0.610,1.140
3,14:28,2,2,NYG 33,3,7,Saquon Barkley left tackle for 12 yards (tackle by Jonathan Owens),1.140,1.930
3,13:56,1,10,NYG 45,3,7,Saquon Barkley left guard for no gain (tackle by Jerry Hughes),1.930,1.380
3,13:29,2,10,NYG 45,3,7,Saquon Barkley right end for 1 yard (tackle by Christian Kirksey),1.380,0.830
3,12:46,3,9,NYG 46,3,13,"Daniel Jones pass complete short left to Darius Slayton for 54 yards, touchdown",0.830,7.000
3,12:33,,,HOU 15,3,14,Graham Gano kicks extra point good,0.000,0.000
3,12:33,,,NYG 35,3,14,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
3,12:33,1,10,HOU 25,3,14,Brandin Cooks right end for 5 yards (tackle by Kayvon Thibodeaux),0.610,0.740
3,11:57,2,5,HOU 30,3,14,Dameon Pierce up the middle for 5 yards (tackle by Jaylon Smith and Micah McFadden),0.740,1.270
3,11:10,1,10,HOU 35,3,14,Davis Mills pass complete short right to Jordan Akins for 9 yards (tackle by Jaylon Smith),1.270,1.940
3,10:35,2,1,HOU 44,3,14,Davis Mills pass complete deep left to Chris Moore for 23 yards (tackle by Fabian Moreau),1.940,3.380
3,9:53,1,10,NYG 33,3,14,"Davis Mills pass complete short middle to Jordan Akins for 17 yards (tackle by Dane Belton). Penalty on Dexter Lawrence: Roughing the Passer, 8 yards (accepted)",3.380,5.370
3,9:15,1,8,NYG 8,3,14,Dameon Pierce up the middle for 1 yard (tackle by Leonard Williams),5.370,4.760
3,8:28,2,7,NYG 7,3,14,"Penalty on HOU: Delay of Game, 5 yards (accepted) (no play)",4.760,3.860
3,8:12,2,12,NYG 12,9,14,"Davis Mills pass complete short left to Nico Collins for 12 yards, touchdown",3.860,7.000
3,8:06,,,NYG 15,10,14,Ka'imi Fairbairn kicks extra point good,0.000,0.000
3,8:06,,,HOU 35,10,14,"Ka'imi Fairbairn kicks off 60 yards, returned by Gary Brightwell for 21 yards (tackle by Desmond King and Dare Ogunbowale)",0.000,0.670
3,8:00,1,10,NYG 26,10,14,Saquon Barkley up the middle for 3 yards (tackle by Rasheem Green and Christian Harris),0.670,0.540
3,7:44,2,7,NYG 29,10,14,Daniel Jones pass complete short right to Lawrence Cager for no gain (tackle by Eric Murray),0.540,-0.160
3,7:06,3,7,NYG 29,10,14,Daniel Jones pass complete short middle to Wan'Dale Robinson for 11 yards (tackle by Christian Kirksey),-0.160,1.600
3,6:39,1,10,NYG 40,10,14,Saquon Barkley right tackle for 2 yards (tackle by Ogbonnia Okoronkwo and Steven Nelson),1.600,1.320
3,6:14,2,8,NYG 42,10,14,Saquon Barkley right guard for 13 yards (tackle by Eric Murray),1.320,2.590
3,5:22,1,10,HOU 45,10,14,Daniel Jones pass incomplete short middle intended for Darius Slayton,2.590,2.040
3,5:18,2,10,HOU 45,10,14,Matt Breida left guard for 3 yards (tackle by Ogbonnia Okoronkwo),2.040,1.750
3,4:45,3,7,HOU 42,10,14,Daniel Jones pass complete deep middle to Isaiah Hodgins for 26 yards (tackle by Jalen Pitre),1.750,4.510
3,4:07,1,10,HOU 16,10,14,Matt Breida right tackle for 9 yards (tackle by Jonathan Owens and Christian Kirksey),4.510,5.540
3,3:28,2,1,HOU 7,10,14,Daniel Jones up the middle for 3 yards (tackle by Maliek Collins),5.540,6.280
3,2:55,1,4,HOU 4,10,14,Saquon Barkley up the middle for 2 yards (tackle by Roy Lopez),6.280,5.720
3,2:25,2,2,HOU 2,10,20,"Saquon Barkley up the middle for 2 yards, touchdown",5.720,7.000
3,2:21,,,HOU 15,10,21,Graham Gano kicks extra point good,0.000,0.000
3,2:21,,,NYG 35,10,21,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
3,2:21,1,10,HOU 25,10,21,Dameon Pierce left tackle for 13 yards (tackle by Dane Belton and Adoree' Jackson),0.610,1.470
3,1:36,1,10,HOU 38,10,21,Davis Mills pass incomplete deep right intended for Brandin Cooks,1.470,0.920
3,1:29,2,10,HOU 38,10,21,Davis Mills pass incomplete short right intended for Nico Collins (defended by Dexter Lawrence),0.920,0.230
3,1:25,,,,,,Timeout #1 by Houston Texans,,
3,1:25,3,10,HOU 38,10,21,Davis Mills pass complete short middle to Dare Ogunbowale for 13 yards (tackle by Dane Belton),0.230,2.320
3,0:52,1,10,NYG 49,10,21,Davis Mills sacked by and Leonard Williams for -6 yards and Dexter Lawrence for -6 yards,2.320,0.970
3,0:05,2,16,HOU 45,10,21,Davis Mills pass complete short left to Jordan Akins for 46 yards (tackle by Julian Love),0.970,4.840
Quarter,Time,Down,ToGo,Location,HOU,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NYG 11,10,21,Dameon Pierce left end for -1 yards (tackle by Darnay Holmes),4.840,4.190
4,14:17,2,10,NYG 10,10,21,"Dameon Pierce left tackle for 2 yards (tackle by Kayvon Thibodeaux). Dameon Pierce fumbles (forced by Leonard Williams), recovered by Jaylon Smith at NYG-7 and returned for 4 yards (tackle by A.J. Cann). Penalty on Kenyon Green: Offensive Holding, 10 yards (declined)",4.190,0.370
4,14:09,1,10,NYG 11,10,21,Saquon Barkley right end for 1 yard (tackle by Christian Harris),-0.370,-0.710
4,13:39,2,9,NYG 12,10,21,Saquon Barkley right guard for 7 yards (tackle by Rasheem Green),-0.710,-0.480
4,12:59,3,2,NYG 19,10,21,Saquon Barkley up the middle for 1 yard (tackle by Rasheem Green),-0.480,-2.030
4,12:12,4,1,NYG 20,10,21,"Jamie Gillan punts 45 yards, returned by Desmond King for 13 yards (tackle by Carter Coughlin)",-2.030,-2.130
4,12:00,1,10,HOU 48,10,21,Davis Mills pass complete short right to Nico Collins for 13 yards (tackle by Fabian Moreau),2.130,2.980
4,11:18,1,10,NYG 39,10,21,Davis Mills pass complete deep left to Brandin Cooks for 25 yards,2.980,4.650
4,10:34,1,10,NYG 14,10,21,Davis Mills pass incomplete short right intended for Nico Collins,4.650,4.000
4,10:28,2,10,NYG 14,10,21,"Davis Mills pass complete short right to Jordan Akins for no gain (tackle by Dane Belton and Oshane Ximines). Penalty on Brandin Cooks: Illegal Shift, 5 yards (accepted) (no play)",4.000,3.370
4,10:01,2,15,NYG 19,10,21,"Davis Mills pass complete deep left to Brandin Cooks for no gain, touchdown. Penalty on Kenyon Green: Offensive Holding, 10 yards (accepted) (no play)",3.370,2.070
4,9:55,2,25,NYG 29,10,21,Davis Mills pass deep left intended for Phillip Dorsett is intercepted by Dane Belton in end zone and returned for no gain,2.070,-0.280
4,9:49,1,10,NYG 20,10,21,Saquon Barkley left end for 17 yards (tackle by Jonathan Owens),0.280,1.400
4,9:16,1,10,NYG 37,10,21,Saquon Barkley left tackle for 5 yards (tackle by Jonathan Owens and Maliek Collins),1.400,1.530
4,8:31,2,5,NYG 42,10,21,Saquon Barkley left tackle for -5 yards (tackle by Jerry Hughes),1.530,0.170
4,7:47,3,10,NYG 37,10,21,Daniel Jones scrambles up the middle for 11 yards (tackle by Jonathan Owens and Tavierre Thomas),0.170,2.130
4,7:00,1,10,NYG 48,10,21,Matt Breida left guard for 1 yard (tackle by Ogbonnia Okoronkwo and Christian Harris),2.130,1.720
4,6:16,2,9,NYG 49,10,21,Matt Breida up the middle for -1 yards (tackle by Ogbonnia Okoronkwo and Kurt Hinish),1.720,0.890
4,5:31,,,,,,Timeout #1 by New York Giants,,
4,5:31,3,10,NYG 48,10,21,Daniel Jones sacked by Blake Cashman for -8 yards,0.890,-0.720
4,4:53,4,18,NYG 40,10,21,"Penalty on HOU: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",-0.720,-0.390
4,4:47,4,13,NYG 45,10,21,"Jamie Gillan punts 47 yards, fair catch by Desmond King at HOU-8",-0.390,0.380
4,4:40,1,10,HOU 8,10,21,Davis Mills pass complete short right to Chris Moore for 22 yards (tackle by Julian Love),-0.380,0.940
4,4:14,1,10,HOU 30,10,21,Davis Mills pass complete short left to Nico Collins for 12 yards (tackle by Fabian Moreau),0.940,1.730
4,4:10,1,10,HOU 42,10,21,Davis Mills pass complete short middle to Dameon Pierce for 16 yards (tackle by Julian Love),1.730,2.790
4,3:42,1,10,NYG 42,10,21,Davis Mills pass complete short left to Nico Collins for 6 yards (tackle by Fabian Moreau),2.790,3.050
4,3:40,2,4,NYG 36,10,21,Dameon Pierce left tackle for 6 yards (tackle by Adoree' Jackson and Jaylon Smith),3.050,3.580
4,3:18,1,10,NYG 30,10,21,Davis Mills pass incomplete short left intended for Phillip Dorsett (defended by Adoree' Jackson),3.580,3.030
4,3:13,2,10,NYG 30,10,21,"Davis Mills sacked by Oshane Ximines for no gain. Davis Mills fumbles (forced by Oshane Ximines), recovered by Jaylon Smith at NYG-35 Replay Assistant challenged the fumble ruling, and the original play was overturned. Davis Mills pass incomplete deep right intended for Chris Moore (defended by Oshane Ximines)",3.030,2.340
4,3:08,3,10,NYG 30,10,21,Davis Mills pass complete short left to Dameon Pierce for 12 yards (tackle by Leonard Williams and Dane Belton),2.340,4.370
4,3:01,1,10,NYG 18,10,21,Dameon Pierce right guard for 2 yards (tackle by Kayvon Thibodeaux and Leonard Williams),4.370,4.090
4,2:42,2,8,NYG 16,10,21,Davis Mills pass incomplete deep right intended for Chris Moore,4.090,3.300
4,2:35,3,8,NYG 16,10,21,"Davis Mills pass incomplete deep left intended for Nico Collins (defended by Fabian Moreau). Penalty on O.J. Howard: Offensive Holding, 10 yards (offset) . Penalty on Fabian Moreau: Defensive Pass Interference, 15 yards (offset) (no play)",3.300,3.300
4,2:30,3,8,NYG 16,10,21,"Davis Mills pass incomplete short left intended for Nico Collins. Penalty on Justin McCray: Offensive Holding, 10 yards (declined)",3.300,2.380
4,2:26,4,8,NYG 16,13,21,Ka'imi Fairbairn 34 yard field goal good,2.380,3.000
4,2:22,,,,,,Timeout #2 by New York Giants,,
4,2:22,,,HOU 35,13,21,"Ka'imi Fairbairn kicks onside 9 yards, returned by Lawrence Cager for no gain. Penalty on Tremon Smith: Offensive Offside, 5 yards (accepted) . Penalty on Jalen Reeves-Maybin: Illegal Touch Kick, 5 yards (declined)",0.000,2.980
4,2:22,1,10,HOU 39,13,21,Saquon Barkley left tackle for -2 yards (tackle by Thomas Booker),2.980,2.170
4,2:17,,,,,,Timeout #2 by Houston Texans,,
4,2:17,2,12,HOU 41,13,21,Saquon Barkley right end for 9 yards (tackle by Jonathan Owens),2.170,2.680
4,2:09,,,,,,Timeout #3 by Houston Texans,,
4,2:09,3,3,HOU 32,13,21,Saquon Barkley left tackle for 1 yard (tackle by Rasheem Green),2.680,1.400
4,2:00,4,2,HOU 31,13,24,Graham Gano 49 yard field goal good,1.400,3.000
4,1:55,,,NYG 35,13,24,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
4,1:55,1,10,HOU 25,13,24,Davis Mills pass complete deep middle to Chris Moore for 25 yards (tackle by Darnay Holmes),0.610,2.260
4,1:29,1,10,HOU 50,13,24,Davis Mills pass complete short middle to Rex Burkhead for 15 yards (tackle by Jason Pinnock),2.260,3.250
4,1:10,1,10,NYG 35,13,24,Davis Mills pass complete deep right to Phillip Dorsett for 18 yards (tackle by Adoree' Jackson),3.250,4.440
4,0:46,1,10,NYG 17,13,24,Davis Mills sacked by Jason Pinnock for -10 yards,4.440,2.540
4,0:11,2,20,NYG 27,16,24,Ka'imi Fairbairn 46 yard field goal good,2.540,3.000
4,0:07,,,HOU 35,16,24,"Ka'imi Fairbairn kicks onside 13 yards, returned by Adoree' Jackson for no gain",0.000,2.390
4,0:06,1,10,HOU 48,16,24,Daniel Jones kneels for -1 yards,2.390,1.710
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
