Unnamed: 0,WAS,DAL
First Downs,17,15
Rush-Yds-TDs,27-142-0,29-62-0
Cmp-Att-Yd-TD-INT,25-42-170-1-2,15-27-223-2-0
Sacked-Yards,2-15,1-6
Net Pass Yards,155,217
Total Yards,297,279
Fumbles-Lost,1-0,0-0
Turnovers,2,0
Penalties-Yards,11-136,4-20
Third Down Conv.,5-15,5-15
Fourth Down Conv.,0-2,0-0
Time of Possession,33:06,26:54
