Quarter,Time,Tm,Detail,NYJ,SEA
1.0,10:21,Jets,Sergio Castillo 45 yard field goal,3,0
,7:16,Seahawks,Freddie Swain 19 yard pass from Russell Wilson (Jason Myers kick),3,7
2.0,14:56,Seahawks,D.K. Metcalf 5 yard pass from Russell Wilson (Jason Myers kick),3,14
,12:35,Seahawks,Jason Myers 41 yard field goal,3,17
,0:32,Seahawks,Chris Carson 5 yard rush (Jason Myers kick failed),3,23
3.0,8:33,Seahawks,Will Dissly 10 yard pass from Russell Wilson (Jason Myers kick),3,30
,2:57,Seahawks,David Moore 3 yard pass from Russell Wilson (Jason Myers kick),3,37
4.0,3:49,Seahawks,Jason Myers 29 yard field goal,3,40
