Unnamed: 0,NOR,ATL
First Downs,32,24
Rush-Yds-TDs,27-143-2,22-48-0
Cmp-Att-Yd-TD-INT,39-49-396-3-0,26-35-374-5-0
Sacked-Yards,1-5,3-15
Net Pass Yards,391,359
Total Yards,534,407
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,11-120,5-54
Third Down Conv.,7-14,4-11
Fourth Down Conv.,1-1,0-0
Time of Possession,37:45,29:20
