Quarter,Time,Tm,Detail,OAK,GNB
1.0,11:57,Packers,Ryan Grant 47 yard rush (Mason Crosby kick),0,7
,4:10,Packers,Ryan Taylor 4 yard pass from Aaron Rodgers (Mason Crosby kick),0,14
2.0,13:07,Packers,Mason Crosby 34 yard field goal,0,17
,9:14,Packers,Jordy Nelson 37 yard pass from Aaron Rodgers (Mason Crosby kick),0,24
,7:06,Packers,Ryan Grant 6 yard rush (Mason Crosby kick),0,31
3.0,12:41,Packers,Mason Crosby 38 yard field goal,0,34
,8:15,Raiders,Michael Bush 2 yard rush (Sebastian Janikowski kick),7,34
,3:31,Packers,Mason Crosby 49 yard field goal,7,37
,2:48,Packers,Erik Walden 5 yard defensive fumble return (Mason Crosby kick failed),7,43
4.0,14:21,Packers,Mason Crosby 33 yard field goal,7,46
,11:01,Raiders,"Safety, Matt Flynn sacked in end zone by Rolando McClain.",9,46
,4:43,Raiders,Kevin Boss 5 yard pass from Carson Palmer (Sebastian Janikowski kick),16,46
