Unnamed: 0,OAK,GNB
First Downs,23,22
Rush-Yds-TDs,29-117-1,24-136-2
Cmp-Att-Yd-TD-INT,24-43-247-1-4,17-32-281-2-1
Sacked-Yards,1-7,4-26
Net Pass Yards,240,255
Total Yards,357,391
Fumbles-Lost,1-1,0-0
Turnovers,5,1
Penalties-Yards,11-89,5-35
Third Down Conv.,5-13,3-11
Fourth Down Conv.,1-2,0-0
Time of Possession,31:20,28:40
