Unnamed: 0,STL,KAN
First Downs,16,21
Rush-Yds-TDs,17-33-0,37-180-3
Cmp-Att-Yd-TD-INT,24-35-218-1-2,11-16-116-1-0
Sacked-Yards,7-49,1-3
Net Pass Yards,169,113
Total Yards,202,293
Fumbles-Lost,1-1,1-0
Turnovers,3,0
Penalties-Yards,5-40,2-15
Third Down Conv.,3-12,3-8
Fourth Down Conv.,0-1,0-1
Time of Possession,28:54,31:06
