Unnamed: 0,SEA,NYG
First Downs,26,14
Rush-Yds-TDs,31-104-0,17-46-0
Cmp-Att-Yd-TD-INT,27-39-334-3-0,19-39-134-1-0
Sacked-Yards,1-13,1-3
Net Pass Yards,321,131
Total Yards,425,177
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,15-110,7-28
Third Down Conv.,6-13,2-12
Fourth Down Conv.,0-1,0-1
Time of Possession,35:26,24:34
