Quarter,Time,Down,ToGo,Location,SEA,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Aldrick Rosas kicks off 69 yards, returned by Tyler Lockett for 23 yards (tackle by Donte Deayon)",0.000,-0.150
1,14:55,1,10,SEA 19,0,0,Thomas Rawls left guard for 7 yards (tackle by Jason Pierre-Paul),0.150,0.610
1,14:28,2,3,SEA 26,0,0,Russell Wilson pass complete short left to Eddie Lacy for 9 yards (tackle by Keenan Robinson),0.610,1.270
1,13:55,1,10,SEA 35,0,0,Russell Wilson pass complete short middle to Tyler Lockett for 14 yards (tackle by Ross Cockrell),1.270,2.190
1,13:29,1,10,SEA 49,0,0,Eddie Lacy middle for 5 yards (tackle by Keenan Robinson),2.190,2.320
1,12:57,2,5,NYG 46,0,0,"Penalty on Germain Ifedi: False Start, 5 yards (no play)",2.320,1.650
1,12:39,2,10,SEA 49,0,0,Russell Wilson pass incomplete deep right intended for Doug Baldwin,1.650,0.960
1,12:30,3,10,SEA 49,0,0,Russell Wilson sacked by Nat Berhe for -13 yards. Penalty on Justin Britt: Offensive Holding (Declined),0.960,-0.980
1,12:11,4,23,SEA 36,0,0,"Jon Ryan punts 47 yards, returned by Ed Eagan for no gain",-0.980,0.060
1,12:03,1,10,NYG 17,0,0,Orleans Darkwa middle for 4 yards (tackle by Bobby Wagner),-0.060,0.080
1,11:26,2,6,NYG 21,0,0,Eli Manning pass incomplete deep right intended for Evan Engram,0.080,-0.750
1,11:18,3,6,NYG 21,0,0,Eli Manning pass complete short right to Evan Engram for 3 yards (tackle by Bradley McDougald),-0.750,-1.770
1,10:45,4,3,NYG 24,0,0,"Brad Wing punts 47 yards, returned by Tyler Lockett for no gain. Penalty on Tanner McEvoy: Running Into the Kicker, 5 yards (no play)",-1.770,0.870
1,10:33,1,10,NYG 29,0,0,Orleans Darkwa left guard for 2 yards (tackle by Jarran Reed and Sheldon Richardson),0.870,0.600
1,9:53,2,8,NYG 31,0,0,"Orleans Darkwa right guard for 3 yards (tackle by K.J. Wright). Penalty on K.J. Wright: Face Mask (15 Yards), 15 yards",0.600,2.190
1,9:31,1,10,NYG 49,0,0,Eli Manning pass incomplete short right intended for Evan Engram,2.190,1.650
1,9:24,2,10,NYG 49,0,0,Eli Manning pass complete short middle to Shane Vereen for -3 yards (tackle by Jarran Reed),1.650,0.560
1,8:56,3,13,NYG 46,0,0,Eli Manning pass incomplete deep right intended for Tavarres King (defended by Richard Sherman),0.560,-0.320
1,8:47,4,13,NYG 46,0,0,"Brad Wing punts 44 yards, fair catch by Tyler Lockett",-0.320,0.380
1,8:39,1,10,SEA 10,0,0,Eddie Lacy right tackle for 3 yards (tackle by Jay Bromley and Keenan Robinson),-0.380,-0.560
1,8:07,2,7,SEA 13,0,0,Eddie Lacy right end for 2 yards (tackle by Damon Harrison and B.J. Goodson),-0.560,-0.840
1,7:21,3,5,SEA 15,0,0,Russell Wilson pass complete short middle to Doug Baldwin for 11 yards (tackle by B.J. Goodson),-0.840,0.670
1,6:49,1,10,SEA 26,0,0,Eddie Lacy right guard for 12 yards (tackle by Devon Kennard and Landon Collins),0.670,1.470
1,6:13,1,10,SEA 38,0,0,Russell Wilson pass complete deep left to Doug Baldwin for 32 yards (tackle by Janoris Jenkins),1.470,3.580
1,5:50,1,10,NYG 30,0,0,Eddie Lacy right tackle for 2 yards (tackle by Damon Harrison and Kerry Wynn),3.580,3.300
1,5:15,2,8,NYG 28,0,0,Russell Wilson pass complete short left to Amara Darboh for 13 yards,3.300,4.580
1,4:44,1,10,NYG 15,0,0,Tyler Lockett right end for 4 yards (tackle by Eli Apple),4.580,4.640
1,4:18,2,6,NYG 11,0,0,Tyler Lockett left end for 6 yards (tackle by Darian Thompson),4.640,6.060
1,3:51,1,5,NYG 5,0,0,"Penalty on Thomas Rawls: False Start, 5 yards (no play)",6.060,4.910
1,3:26,1,10,NYG 10,0,0,Russell Wilson pass complete short right to Tyler Lockett for no gain,4.910,4.190
1,3:03,2,10,NYG 10,0,0,"Russell Wilson pass incomplete short middle intended for Jimmy Graham. Penalty on Keenan Robinson: Roughing the Passer, 5 yards (no play)",4.190,6.060
1,2:59,1,5,NYG 5,0,0,Eddie Lacy left guard for 3 yards (tackle by Dalvin Tomlinson and Keenan Robinson),6.060,5.720
1,2:26,2,2,NYG 2,0,0,Eddie Lacy middle for -3 yards (tackle by Damon Harrison),5.720,0.000
1,1:34,,,,,,Timeout #1 by Seattle Seahawks,0.000,-4.260
1,1:34,3,5,NYG 5,0,0,"Russell Wilson pass incomplete short middle intended for Paul Richardson. Penalty on B.J. Goodson: Defensive Pass Interference, 4 yards (no play)",4.260,6.970
1,1:30,1,1,NYG 1,0,0,Russell Wilson pass complete short left to Tre Madden for -1 yards (tackle by Devon Kennard),6.970,5.720
1,0:50,2,2,NYG 2,0,0,Russell Wilson pass incomplete short left intended for Jimmy Graham,5.720,4.950
1,0:44,3,2,NYG 2,0,0,Thomas Rawls right guard for 1 yard (tackle by Avery Moss and Damon Harrison),4.950,3.550
Quarter,Time,Down,ToGo,Location,SEA,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,1,NYG 1,0,0,Russell Wilson pass incomplete short right intended for Jimmy Graham (defended by Eli Apple),3.550,0.380
2,14:56,1,10,NYG 1,0,0,Orleans Darkwa middle for 6 yards (tackle by Kam Chancellor and Earl Thomas),-0.380,-0.340
2,14:20,2,4,NYG 7,0,0,Orleans Darkwa left tackle for 2 yards (tackle by Jarran Reed and K.J. Wright),-0.340,-0.480
2,13:36,3,2,NYG 9,0,0,Orleans Darkwa left tackle for 1 yard (tackle by Kam Chancellor and K.J. Wright),-0.480,-2.490
2,13:07,4,1,NYG 10,0,0,"Penalty on Nordly Capi: False Start, 4 yards (no play)",-2.490,-2.490
2,12:49,4,5,NYG 6,0,0,Brad Wing punts 53 yards,-2.490,-1.660
2,12:44,1,10,SEA 41,0,0,"Thomas Rawls left end for 5 yards (tackle by Avery Moss and Robert Thomas). Thomas Rawls fumbles (forced by Avery Moss), recovered by Landon Collins at SEA-49 and returned for 32 yards (tackle by Doug Baldwin)",1.660,-4.440
2,12:33,1,10,SEA 17,0,0,Eli Manning pass complete short middle to Roger Lewis for 12 yards (tackle by Shaquill Griffin),4.440,6.060
2,11:58,1,5,SEA 5,0,6,"Eli Manning pass complete short right to Evan Engram for 5 yards, touchdown",6.060,7.000
2,11:51,,,SEA 15,0,7,Aldrick Rosas kicks extra point good,0.000,0.000
2,11:51,,,NYG 35,0,7,"Aldrick Rosas kicks off 69 yards, returned by Tyler Lockett for 22 yards (tackle by Andrew Adams)",0.000,-0.040
2,11:51,1,10,SEA 18,0,7,Russell Wilson pass complete short left to Doug Baldwin for -3 yards (tackle by Dominique Rodgers-Cromartie),0.040,-0.930
2,11:10,2,13,SEA 15,0,7,"Russell Wilson right end for 8 yards (tackle by Eli Apple). Penalty on Germain Ifedi: Offensive Holding, 7 yards (no play)",-0.930,-1.510
2,10:45,2,20,SEA 8,0,7,Russell Wilson pass complete deep right to Amara Darboh for 16 yards (tackle by Eli Apple),-1.510,-0.400
