Quarter,Time,Tm,Detail,NOR,LVR
1.0,11:01,Saints,Wil Lutz 31 yard field goal,3,0
,3:51,Saints,Alvin Kamara 1 yard rush (Wil Lutz kick),10,0
2.0,8:55,Raiders,Alec Ingold 3 yard pass from Derek Carr (Daniel Carlson kick),10,7
,5:22,Saints,Jared Cook 6 yard pass from Drew Brees (Wil Lutz kick),17,7
,1:44,Raiders,Zay Jones 15 yard pass from Derek Carr (Daniel Carlson kick),17,14
,0:00,Raiders,Daniel Carlson 28 yard field goal,17,17
3.0,9:58,Raiders,Darren Waller 1 yard pass from Derek Carr (Daniel Carlson kick),17,24
4.0,7:43,Raiders,Jalen Richard 20 yard rush (Daniel Carlson kick),17,31
,4:33,Saints,Alvin Kamara 3 yard rush (Wil Lutz kick),24,31
,1:05,Raiders,Daniel Carlson 54 yard field goal,24,34
