Quarter,Time,Down,ToGo,Location,NOR,LVR,Detail,EPB,EPA
1,6:21,1,10,LVR 35,3,0,Latavius Murray left end for 2 yards (tackle by Damon Arnette),3.250,2.970
1,5:44,2,8,LVR 33,3,0,Drew Brees pass incomplete short right intended for Emmanuel Sanders,2.970,2.280
1,5:39,3,8,LVR 33,3,0,Drew Brees pass complete short middle to Tre'Quan Smith for 29 yards (tackle by Lamarcus Joyner),2.280,6.280
1,4:53,,,,,,Timeout #1 by New Orleans Saints,,
1,4:53,1,4,LVR 4,3,0,Alvin Kamara left end for 3 yards (tackle by Damon Arnette),6.280,5.910
1,4:35,2,1,LVR 1,3,0,Taysom Hill left guard for no gain (tackle by Kyle Wilber),5.910,5.170
1,3:55,3,1,LVR 1,9,0,"Alvin Kamara left tackle for 1 yard, touchdown",5.170,7.000
1,3:51,,,LVR 15,9,0,"Wil Lutz kicks extra point good. Penalty on Johnathan Hankins: Unnecessary Roughness, 1 yard (no play)",0.000,1.000
1,3:51,,,LVR 1,9,0,"Two Point Attempt: Alvin Kamara rushes, conversion succeeds. Penalty on NOR: Illegal Formation, 5 yards (no play)",1.000,0.000
1,3:51,,,LVR 20,10,0,Wil Lutz kicks extra point good,0.000,0.000
1,3:51,,,NOR 35,10,0,"Wil Lutz kicks off 67 yards, returned by Jalen Richard for 30 yards (tackle by Justin Hardee)",0.000,0.810
1,3:44,1,10,LVR 28,10,0,Josh Jacobs right guard for 4 yards (tackle by Demario Davis),0.810,0.800
1,3:07,2,6,LVR 32,10,0,Derek Carr pass complete deep middle to Bryan Edwards for 22 yards (tackle by Janoris Jenkins and Malcolm Jenkins),0.800,2.520
1,2:31,1,10,NOR 46,10,0,Derek Carr pass incomplete deep left intended for Henry Ruggs,2.520,1.980
1,2:24,2,10,NOR 46,10,0,Derek Carr sacked by Trey Hendrickson for -5 yards. Penalty on Richie Incognito: Offensive Holding (Declined),1.980,0.630
1,1:58,3,15,LVR 49,10,0,Derek Carr sacked by David Onyemata for -5 yards,0.630,-0.460
1,1:17,4,20,LVR 44,10,0,"AJ Cole punts 36 yards, fair catch by Deonte Harris at NO-20",-0.460,-0.280
1,1:10,1,10,NOR 20,10,0,Alvin Kamara right tackle for 5 yards (tackle by Nicholas Morrow),0.280,0.410
1,0:32,2,5,NOR 25,10,0,Drew Brees pass incomplete short middle intended for Deonte Harris,0.410,-0.300
1,0:28,3,5,NOR 25,10,0,Drew Brees pass incomplete deep left intended for Jared Cook. Penalty on Jared Cook: Offensive Pass Interference (Declined),-0.300,-1.700
1,0:22,4,5,NOR 25,10,0,"Thomas Morstead punts 43 yards, returned by Hunter Renfrow for 5 yards (tackle by J.T. Gray)",-1.700,-1.400
1,0:13,1,10,LVR 37,10,0,Derek Carr pass complete short left to Josh Jacobs for 9 yards (tackle by Marshon Lattimore and Demario Davis),1.400,2.070
Quarter,Time,Down,ToGo,Location,NOR,LVR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,LVR 46,10,0,Josh Jacobs left guard for no gain (tackle by Margus Hunt),2.070,1.360
2,14:27,3,1,LVR 46,10,0,Derek Carr pass complete short left to Jason Witten for 3 yards (tackle by Marcus Williams),1.360,2.190
2,13:50,1,10,LVR 49,10,0,Derek Carr pass complete short left to Josh Jacobs for 6 yards (tackle by Marcus Williams),2.190,2.460
2,13:20,2,4,NOR 45,10,0,Josh Jacobs right guard for 3 yards (tackle by Alex Anzalone and Cameron Jordan),2.460,2.150
2,12:36,3,1,NOR 42,10,0,Derek Carr pass complete short right to Darren Waller for 9 yards (tackle by Marshon Lattimore),2.150,3.380
2,11:55,1,10,NOR 33,10,0,Josh Jacobs left tackle for -2 yards (tackle by Malcolm Roach),3.380,2.570
2,11:14,2,12,NOR 35,10,0,"Derek Carr pass incomplete short right intended for Henry Ruggs. Penalty on Chauncey Gardner-Johnson: Defensive Holding, 5 yards (no play)",2.570,3.580
2,11:08,1,10,NOR 30,10,0,Derek Carr pass complete short middle to Darren Waller for 13 yards (tackle by Marshon Lattimore),3.580,4.440
2,10:26,1,10,NOR 17,10,0,Devontae Booker right guard for 1 yard (tackle by Sheldon Rankins),4.440,4.000
2,9:42,2,9,NOR 16,10,0,Derek Carr pass complete short middle to Darren Waller for 13 yards (tackle by Malcolm Jenkins),4.000,6.510
2,8:59,1,3,NOR 3,10,6,"Derek Carr pass complete short right to Alec Ingold for 3 yards, touchdown",6.510,7.000
2,8:55,,,NOR 15,10,7,Daniel Carlson kicks extra point good,0.000,0.000
2,8:55,,,LVR 35,10,7,"Daniel Carlson kicks off 70 yards, returned by Deonte Harris for 29 yards (tackle by Erik Harris)",0.000,0.540
2,8:49,1,10,NOR 24,10,7,Drew Brees pass complete short left to Alvin Kamara for 16 yards (tackle by Nevin Lawson),0.540,1.600
2,8:22,1,10,NOR 40,10,7,Drew Brees pass complete short left to Latavius Murray for 10 yards (tackle by Lamarcus Joyner),1.600,2.260
2,7:33,1,10,NOR 50,10,7,Drew Brees pass complete short left to Tre'Quan Smith for 25 yards (tackle by Nicholas Morrow),2.260,3.910
2,6:50,1,10,LVR 25,10,7,Drew Brees pass complete deep right to Adam Trautman for 17 yards (tackle by Trayvon Mullen),3.910,5.370
2,6:14,1,8,LVR 8,10,7,Drew Brees pass incomplete short middle,5.370,4.570
2,6:07,2,8,LVR 8,10,7,Alvin Kamara left tackle for 2 yards (tackle by Nicholas Morrow),4.570,4.040
2,5:27,3,6,LVR 6,16,7,"Drew Brees pass complete short right to Jared Cook for 6 yards, touchdown",4.040,7.000
2,5:22,,,LVR 15,17,7,Wil Lutz kicks extra point good,0.000,0.000
2,5:22,,,NOR 35,17,7,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,5:22,1,10,LVR 25,17,7,Josh Jacobs left tackle for 7 yards (tackle by Marcus Williams),0.610,1.010
2,4:43,2,3,LVR 32,17,7,Josh Jacobs right guard for -2 yards (tackle by Alex Anzalone and David Onyemata),1.010,0.040
2,4:07,3,5,LVR 30,17,7,Derek Carr pass complete short right to Nelson Agholor for 19 yards (tackle by P.J. Williams),0.040,2.190
2,3:33,1,10,LVR 49,17,7,Derek Carr pass complete short middle to Hunter Renfrow for 15 yards (tackle by P.J. Williams),2.190,3.180
2,2:44,1,10,NOR 36,17,7,Derek Carr pass incomplete short left intended for Darren Waller (defended by Demario Davis),3.180,2.640
2,2:40,2,10,NOR 36,17,7,Derek Carr pass incomplete short left,2.640,1.950
2,2:37,3,10,NOR 36,17,7,Derek Carr pass complete short left to Bryan Edwards for 20 yards (tackle by Marcus Williams),1.950,4.510
2,2:02,1,10,NOR 16,17,7,"Penalty on Cameron Jordan: Neutral Zone Infraction, 5 yards (no play)",4.510,5.630
2,2:00,1,5,NOR 11,17,7,Josh Jacobs left tackle for -4 yards (tackle by Demario Davis),5.630,4.050
2,1:57,,,,,,Timeout #2 by New Orleans Saints,,
2,1:57,2,9,NOR 15,17,7,Derek Carr pass incomplete short right,4.050,3.220
2,1:49,3,9,NOR 15,17,13,"Derek Carr pass complete short left to Zay Jones for 15 yards, touchdown",3.220,7.000
2,1:44,,,NOR 15,17,14,Daniel Carlson kicks extra point good,0.000,0.000
2,1:44,,,LVR 35,17,14,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,1:44,1,10,NOR 25,17,14,Alvin Kamara right guard for 5 yards (tackle by Maxx Crosby),0.610,0.740
2,1:25,2,5,NOR 30,17,14,Drew Brees pass incomplete short left intended for Ty Montgomery,0.740,0.040
2,1:21,3,5,NOR 30,17,14,Drew Brees pass complete short middle to Tre'Quan Smith for 8 yards (tackle by Nicholas Morrow),0.040,1.470
2,0:55,1,10,NOR 38,17,14,Drew Brees pass short middle intended for Deonte Harris is intercepted by Nicholas Morrow at NO-46 and returned for 6 yards,1.470,-2.920
2,0:48,1,10,NOR 40,17,14,Derek Carr pass complete short left to Hunter Renfrow for 5 yards (tackle by Marshon Lattimore),2.920,3.050
2,0:43,2,5,NOR 35,17,14,Derek Carr pass complete short right to Henry Ruggs for 4 yards (tackle by Janoris Jenkins),3.050,2.870
2,0:30,,,,,,Timeout #1 by Las Vegas Raiders,,
2,0:30,3,1,NOR 31,17,14,Derek Carr pass complete short right to Alec Ingold for 2 yards (tackle by Malcolm Jenkins),2.870,3.640
2,0:25,1,10,NOR 29,17,14,Derek Carr pass complete short right to Darren Waller for 12 yards (tackle by Marcus Williams),3.640,4.440
2,0:20,1,10,NOR 17,17,14,Derek Carr right guard for 3 yards (tackle by Cameron Jordan),4.440,4.320
2,0:14,,,,,,Timeout #2 by Las Vegas Raiders,,
2,0:14,2,7,NOR 14,17,14,Josh Jacobs right guard for 5 yards (tackle by David Onyemata),4.320,4.570
2,0:09,,,,,,Timeout #3 by Las Vegas Raiders,,
2,0:09,3,2,NOR 9,17,14,Derek Carr pass incomplete short right,4.570,2.950
2,0:04,4,2,NOR 9,17,17,Daniel Carlson 28 yard field goal good,2.950,3.000
Quarter,Time,Down,ToGo,Location,NOR,LVR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 35,17,17,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LVR 25,17,17,Derek Carr pass incomplete short right intended for Henry Ruggs (defended by Janoris Jenkins),0.610,0.060
3,14:56,2,10,LVR 25,17,17,Derek Carr pass complete short right to Darren Waller for 4 yards (tackle by Demario Davis),0.060,-0.100
3,14:16,3,6,LVR 29,17,17,"Derek Carr pass incomplete deep left intended for Bryan Edwards (defended by Marshon Lattimore). Penalty on Marshon Lattimore: Defensive Pass Interference, 20 yards (no play)",-0.100,2.190
3,14:11,1,10,LVR 49,17,17,Josh Jacobs right guard for 3 yards (tackle by Carl Granderson),2.190,2.050
3,13:30,2,7,NOR 48,17,17,Derek Carr pass complete short middle to Darren Waller for 10 yards (tackle by Janoris Jenkins and P.J. Williams),2.050,3.050
3,12:47,1,10,NOR 38,17,17,Derek Carr pass complete deep right to Foster Moreau for 31 yards (tackle by Marcus Williams),3.050,5.600
3,11:57,,,,,,Timeout #1 by Las Vegas Raiders,,
3,11:57,1,7,NOR 7,17,17,Josh Jacobs left guard for 6 yards (tackle by Marcus Williams and Malcolm Roach),5.600,5.910
3,11:17,2,1,NOR 1,17,17,Josh Jacobs up the middle for no gain (tackle by David Onyemata and Alex Anzalone),5.910,5.170
3,10:35,3,1,NOR 1,17,17,"Derek Carr aborted snap, recovered by Alec Ingold at NO-1",5.170,3.550
3,10:03,4,1,NOR 1,17,23,"Derek Carr pass complete short right to Darren Waller for 1 yard, touchdown",3.550,7.000
3,9:58,,,NOR 15,17,24,Daniel Carlson kicks extra point good,0.000,0.000
3,9:58,,,LVR 35,17,24,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,9:58,1,10,NOR 25,17,24,Drew Brees pass complete short right to Alvin Kamara for 20 yards (tackle by Trayvon Mullen),0.610,1.930
3,9:28,1,10,NOR 45,17,24,Drew Brees pass complete short right to Josh Hill for 16 yards (tackle by Johnathan Hankins),1.930,2.980
3,9:07,1,10,LVR 39,17,24,"Alvin Kamara left guard for no gain (tackle by Johnathan Hankins and Maxx Crosby). Alvin Kamara fumbles (forced by Johnathan Hankins), recovered by Andrus Peat at LV-38. Penalty on Erik McCoy: Offensive Holding, 10 yards (no play)",2.980,2.320
3,8:41,1,20,LVR 49,17,24,Drew Brees pass complete short middle to Alvin Kamara for 4 yards (tackle by Lamarcus Joyner),2.320,1.630
3,8:03,2,16,LVR 45,17,24,"Drew Brees pass complete short right to Alvin Kamara for 12 yards (tackle by Johnathan Abram). Penalty on Ryan Ramczyk: Offensive Holding, 10 yards (no play)",1.630,0.280
3,7:46,2,26,NOR 45,17,24,"Drew Brees pass complete short left to Alvin Kamara for 10 yards (tackle by Erik Harris). Penalty on Emmanuel Sanders: Illegal Blindside Block, 15 yards",0.280,-0.400
3,7:12,2,31,NOR 40,17,24,Drew Brees pass complete short left to Latavius Murray for 9 yards (tackle by Damon Arnette),-0.400,0.170
3,6:33,3,22,NOR 49,17,24,Drew Brees pass complete short left to Ty Montgomery for 8 yards (tackle by Damon Arnette),0.170,0.400
3,5:59,4,14,LVR 43,17,24,"Thomas Morstead punts 30 yards, fair catch by Hunter Renfrow at LV-13",0.400,0.320
3,5:52,1,10,LVR 13,17,24,"Derek Carr pass complete short left to Josh Jacobs for 2 yards (tackle by Malcolm Jenkins and David Onyemata). Penalty on Jalen Richard: Illegal Blindside Block, 7 yards",-0.320,-0.570
3,5:27,1,15,LVR 8,17,24,Jalen Richard right tackle for 6 yards (tackle by Malcolm Jenkins),-0.570,-0.680
3,4:48,2,9,LVR 14,17,24,Derek Carr pass complete short right to Devontae Booker for 6 yards (tackle by Janoris Jenkins),-0.680,-0.590
3,4:06,,,,,,Timeout #1 by New Orleans Saints,,
3,4:06,3,3,LVR 20,17,24,Derek Carr pass complete short right to Darren Waller for 6 yards (tackle by Janoris Jenkins),-0.590,0.670
3,3:26,1,10,LVR 26,17,24,Josh Jacobs left end for 6 yards (tackle by Demario Davis),0.670,0.940
3,2:49,,,,,,Timeout #2 by Las Vegas Raiders,,
3,2:49,2,4,LVR 32,17,24,"Derek Carr pass incomplete deep left intended for Hunter Renfrow (defended by Marshon Lattimore). Penalty on Trey Hendrickson: Roughing the Passer, 15 yards (no play)",0.940,2.060
3,2:42,1,10,LVR 47,17,24,Josh Jacobs left tackle for -5 yards (tackle by Trey Hendrickson),2.060,0.840
3,1:59,2,15,LVR 42,17,24,Josh Jacobs right guard for 14 yards (tackle by Demario Davis),0.840,2.020
3,1:16,3,1,NOR 44,17,24,Josh Jacobs right guard for no gain (tackle by Trey Hendrickson),2.020,0.330
3,0:37,4,1,NOR 44,17,24,Josh Jacobs right guard for 2 yards (tackle by Malcolm Roach),0.330,2.790
Quarter,Time,Down,ToGo,Location,NOR,LVR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NOR 42,17,24,Derek Carr pass complete short left to Darren Waller for 8 yards (tackle by Marshon Lattimore),2.790,3.320
4,14:19,2,2,NOR 34,17,24,Derek Carr pass incomplete deep left intended for Darren Waller,3.320,2.610
4,14:14,3,2,NOR 34,17,24,"Derek Carr aborted snap, recovered by P.J. Williams at NO-40",2.610,-1.600
4,14:06,1,10,NOR 40,17,24,Alvin Kamara right guard for 5 yards (tackle by Johnathan Hankins and Carl Nassib),1.600,1.730
4,13:33,2,5,NOR 45,17,24,Drew Brees pass complete short middle to Deonte Harris for 5 yards (tackle by Johnathan Abram),1.730,2.260
4,12:57,1,10,NOR 50,17,24,Drew Brees pass incomplete short right intended for Josh Hill,2.260,1.710
4,12:51,2,10,NOR 50,17,24,Alvin Kamara left end for 3 yards (tackle by Lamarcus Joyner),1.710,1.420
4,12:29,3,7,LVR 47,17,24,Drew Brees pass incomplete short middle intended for Tre'Quan Smith. Penalty on Latavius Murray: Offensive Holding (Declined),1.420,0.130
4,12:24,4,7,LVR 47,17,24,"Thomas Morstead punts 36 yards, fair catch by Hunter Renfrow at LV-11",0.130,0.370
4,12:17,1,10,LVR 11,17,24,Derek Carr pass complete deep left to Darren Waller for 18 yards (tackle by P.J. Williams),-0.370,0.870
4,11:35,1,10,LVR 29,17,24,Derek Carr pass complete short left to Darren Waller for 2 yards (tackle by P.J. Williams),0.870,0.600
4,10:49,2,8,LVR 31,17,24,"Josh Jacobs right end for 3 yards (tackle by Cameron Jordan). Penalty on Cameron Jordan: Horse Collar Tackle, 15 yards",0.600,2.190
4,10:27,1,10,LVR 49,17,24,Derek Carr pass incomplete short middle intended for Darren Waller (defended by Malcolm Jenkins),2.190,1.650
4,10:23,2,10,LVR 49,17,24,Devontae Booker left guard for 1 yard (tackle by Alex Anzalone and Cameron Jordan),1.650,1.090
4,9:45,3,9,LVR 50,17,24,Derek Carr pass complete short middle to Hunter Renfrow for 17 yards (tackle by Marshon Lattimore),1.090,3.380
4,9:20,1,10,NOR 33,17,24,Josh Jacobs right tackle for 13 yards (tackle by Marcus Williams and Malcolm Jenkins),3.380,4.240
4,8:37,1,10,NOR 20,17,24,Josh Jacobs right tackle for no gain (tackle by Margus Hunt and Malcolm Roach),4.240,3.690
4,7:56,2,10,NOR 20,17,24,Derek Carr pass incomplete short right,3.690,3.010
4,7:51,3,10,NOR 20,17,30,"Jalen Richard right end for 20 yards, touchdown",3.010,7.000
4,7:43,,,NOR 15,17,31,Daniel Carlson kicks extra point good,0.000,0.000
4,7:43,,,LVR 35,17,31,"Daniel Carlson kicks off 67 yards, returned by Deonte Harris for 35 yards (tackle by Erik Harris)",0.000,1.140
4,7:37,1,10,NOR 33,17,31,Drew Brees pass complete short left to Deonte Harris for 9 yards (tackle by Erik Harris),1.140,1.810
4,7:12,2,1,NOR 42,17,31,Alvin Kamara right guard for 8 yards (tackle by Carl Nassib),1.810,2.260
4,6:43,1,10,NOR 50,17,31,Drew Brees pass complete short left to Alvin Kamara for 3 yards (tackle by Maurice Hurst),2.260,2.120
4,6:02,2,7,LVR 47,17,31,Drew Brees pass complete short middle to Tre'Quan Smith for 6 yards (tackle by Damon Arnette),2.120,2.210
4,5:24,3,1,LVR 41,17,31,Drew Brees pass complete short right to Deonte Harris for 9 yards (tackle by Trayvon Mullen). Penalty on Clelin Ferrell: Illegal Use of Hands (Declined),2.210,3.450
4,5:03,1,10,LVR 32,17,31,Drew Brees pass complete short left to Ty Montgomery for 17 yards (tackle by Nicholas Morrow),3.450,4.580
4,4:57,1,10,LVR 15,17,31,Drew Brees pass complete short middle to Alvin Kamara for 12 yards (tackle by Lamarcus Joyner),4.580,6.510
4,4:38,1,3,LVR 3,23,31,"Alvin Kamara left guard for 3 yards, touchdown",6.510,7.000
4,4:33,,,LVR 15,24,31,Wil Lutz kicks extra point good,0.000,0.000
4,4:33,,,NOR 35,24,31,"Wil Lutz kicks off 63 yards, returned by Henry Ruggs for 16 yards (tackle by P.J. Williams)",0.000,0.040
4,4:27,1,10,LVR 18,24,31,Josh Jacobs right tackle for 12 yards (tackle by Marcus Williams),0.040,0.940
4,3:42,1,10,LVR 30,24,31,Josh Jacobs left guard for 2 yards (tackle by Malcom Brown and Demario Davis),0.940,0.660
4,2:57,2,8,LVR 32,24,31,Josh Jacobs left guard for 3 yards (tackle by Cameron Jordan),0.660,0.370
4,2:14,3,5,LVR 35,24,31,"Derek Carr pass incomplete deep right intended for Henry Ruggs. Penalty on Janoris Jenkins: Defensive Pass Interference, 29 yards (no play)",0.370,3.180
4,2:08,1,10,NOR 36,24,31,Devontae Booker left tackle for -3 yards (tackle by Marshon Lattimore),3.180,2.230
4,2:00,2,13,NOR 39,24,31,Josh Jacobs right guard for no gain (tackle by Trey Hendrickson),2.230,1.550
4,1:56,,,,,,Timeout #3 by New Orleans Saints,,
4,1:56,3,13,NOR 39,24,31,Josh Jacobs left end for 3 yards (tackle by Trey Hendrickson),1.550,0.880
4,1:08,,,,,,Timeout #3 by Las Vegas Raiders,,
4,1:08,4,10,NOR 36,24,34,Daniel Carlson 54 yard field goal good,0.880,3.000
4,1:05,,,LVR 35,24,34,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
4,1:05,1,10,NOR 25,24,34,Drew Brees pass complete deep middle to Emmanuel Sanders for 18 yards (tackle by Johnathan Abram),0.610,1.800
4,0:47,1,10,NOR 43,24,34,Drew Brees pass incomplete short right intended for Jared Cook (defended by Maxx Crosby),1.800,1.250
4,0:42,2,10,NOR 43,24,34,Drew Brees pass complete short left to Alvin Kamara for 8 yards (tackle by Maxx Crosby),1.250,1.620
4,0:20,3,2,LVR 49,24,34,Drew Brees pass complete short middle to Jared Cook for 7 yards (tackle by Cory Littleton),1.620,2.790
4,0:01,1,10,LVR 42,24,34,Drew Brees pass complete short middle to Alvin Kamara for 15 yards (tackle by Nicholas Morrow),2.790,1.800
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
