Unnamed: 0,NOR,LVR
First Downs,26,28
Rush-Yds-TDs,19-112-2,35-116-1
Cmp-Att-Yd-TD-INT,26-38-312-1-1,28-38-284-3-0
Sacked-Yards,0-0,3-23
Net Pass Yards,312,261
Total Yards,424,377
Fumbles-Lost,0-0,2-1
Turnovers,1,1
Penalties-Yards,10-129,3-13
Third Down Conv.,7-11,10-17
Fourth Down Conv.,0-0,2-2
Time of Possession,23:42,36:18
