Unnamed: 0,GNB,DET
First Downs,26,27
Rush-Yds-TDs,31-120-1,15-51-2
Cmp-Att-Yd-TD-INT,26-33-290-3-0,27-40-273-1-0
Sacked-Yards,0-0,4-31
Net Pass Yards,290,242
Total Yards,410,293
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,12-68,4-30
Third Down Conv.,8-11,5-10
Fourth Down Conv.,0-0,0-0
Time of Possession,35:30,24:30
