Quarter,Time,Tm,Detail,MIN,CAR
2.0,10:55,Panthers,Brad Hoover 1 yard pass from Matt Moore (John Kasay kick failed),0,6
,5:01,Vikings,Adrian Peterson 4 yard rush (Ryan Longwell kick),7,6
4.0,14:49,Panthers,Steve Smith Sr. 42 yard pass from Matt Moore (pass failed),7,12
,9:18,Panthers,Jonathan Stewart 3 yard rush (John Kasay kick),7,19
,3:07,Panthers,Jonathan Stewart 2 yard pass from Matt Moore (John Kasay kick),7,26
