Unnamed: 0,MIN,CAR
First Downs,10,23
Rush-Yds-TDs,14-41-1,40-124-1
Cmp-Att-Yd-TD-INT,17-27-224-0-1,21-33-299-3-0
Sacked-Yards,4-28,2-26
Net Pass Yards,196,273
Total Yards,237,397
Fumbles-Lost,1-1,3-0
Turnovers,2,0
Penalties-Yards,5-45,6-49
Third Down Conv.,1-10,8-17
Fourth Down Conv.,0-0,0-1
Time of Possession,22:01,37:59
