Quarter,Time,Down,ToGo,Location,MIA,SFO,Detail,EPB,EPA
1,3:27,2,6,SFO 24,0,0,Ryan Tannehill pass complete short right to Brian Hartline for 6 yards (tackle by Carlos Rogers),3.710,4.370
1,2:43,1,10,SFO 18,0,0,Reggie Bush up the middle for 3 yards (tackle by Patrick Willis),4.370,4.250
1,2:06,2,7,SFO 15,0,0,Ryan Tannehill pass incomplete short left intended for Anthony Fasano (defended by Donte Whitner),4.250,3.460
1,2:01,3,7,SFO 15,0,0,Ryan Tannehill pass complete short right to Lamar Miller for 8 yards (tackle by Navorro Bowman and Chris Culliver),3.460,5.600
1,1:14,1,7,SFO 7,0,0,"Penalty on Jonathan Martin: False Start, 5 yards (no play)",5.600,4.640
1,1:03,1,12,SFO 12,0,0,"Penalty on Nate Garner: False Start, 5 yards (no play)",4.640,4.260
1,0:26,1,17,SFO 17,0,0,Reggie Bush left guard for 8 yards (tackle by Aldon Smith),4.260,4.380
Quarter,Time,Down,ToGo,Location,MIA,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,SFO 9,0,0,Ryan Tannehill sacked by Aldon Smith for -8 yards,4.380,2.740
2,14:23,3,17,SFO 17,0,0,Ryan Tannehill pass complete short middle to Reggie Bush for 7 yards (tackle by Perrish Cox and Donte Whitner),2.740,2.760
2,13:35,4,10,SFO 10,3,0,Dan Carpenter 28 yard field goal good,2.760,3.000
2,13:31,,,MIA 35,3,0,"Dan Carpenter kicks off 74 yards, touchback",0.000,0.280
2,13:31,1,10,SFO 20,3,0,Colin Kaepernick pass complete short middle to Frank Gore for 3 yards (tackle by Koa Misi),0.280,0.140
2,12:52,2,7,SFO 23,3,0,LaMichael James left end for 10 yards (tackle by Tony McDaniel),0.140,1.140
2,12:11,1,10,SFO 33,3,0,Colin Kaepernick pass complete short right to Michael Crabtree for 16 yards (tackle by Reshad Jones and Chris Clemons),1.140,2.190
2,11:26,1,10,SFO 49,3,0,"LaMichael James left end for 4 yards (tackle by Cameron Wake). Penalty on Chris Clemons: Unnecessary Roughness, 15 yards",2.190,3.450
2,10:51,1,10,MIA 32,3,0,Frank Gore left tackle for 3 yards (tackle by Koa Misi),3.450,3.310
2,10:15,2,7,MIA 29,3,0,Colin Kaepernick pass complete short left to Michael Crabtree for 9 yards (tackle by Nolan Carroll),3.310,4.240
2,9:32,1,10,MIA 20,3,0,Colin Kaepernick pass incomplete deep right intended for Michael Crabtree,4.240,3.690
2,9:27,2,10,MIA 20,3,0,Frank Gore up the middle for 9 yards (tackle by Karlos Dansby and Jared Odrick),3.690,0.000
2,8:44,,,,3,0,Timeout #2 by San Francisco 49ers,0.000,4.590
2,8:44,3,1,MIA 11,3,0,Frank Gore right guard for -1 yards (tackle by Karlos Dansby),4.590,2.760
2,8:04,4,2,MIA 12,3,3,David Akers 30 yard field goal good,2.760,3.000
2,8:00,,,SFO 35,3,3,"David Akers kicks off 68 yards, returned by Marcus Thigpen for 23 yards (tackle by Tavares Gooden)",0.000,0.280
2,7:48,1,10,MIA 20,3,3,Reggie Bush up the middle for 8 yards (tackle by Dashon Goldson),0.280,0.810
2,7:14,2,2,MIA 28,3,3,Reggie Bush left guard for 3 yards (tackle by Ray McDonald and Navorro Bowman),0.810,1.000
2,6:40,1,10,MIA 31,3,3,Ryan Tannehill pass complete short right to Anthony Fasano for 6 yards (tackle by Patrick Willis),1.000,1.270
2,6:04,2,4,MIA 37,3,3,Reggie Bush right tackle for 1 yard (tackle by Justin Smith and Ahmad Brooks),1.270,0.700
2,5:24,3,3,MIA 38,3,3,Ryan Tannehill pass complete short right to Reggie Bush for 7 yards (tackle by Navorro Bowman),0.700,1.930
2,4:49,1,10,MIA 45,3,3,Lamar Miller left end for 1 yard (tackle by Ahmad Brooks),1.930,1.520
2,4:15,2,9,MIA 46,3,3,Ryan Tannehill pass complete short right to Charles Clay for 3 yards (tackle by Navorro Bowman),1.520,1.220
2,3:30,3,6,MIA 49,3,3,Ryan Tannehill pass incomplete deep left intended for Reggie Bush,1.220,-0.130
2,3:24,4,6,MIA 49,3,3,"Brandon Fields punts 51 yards, touchback",-0.130,-0.280
,,,,,,,"MIA challenged the touchback ruling, and the play was upheld.",,
2,3:15,1,10,SFO 20,3,3,Colin Kaepernick pass complete deep left to Michael Crabtree for 25 yards (tackle by Reshad Jones),0.280,1.930
2,2:35,1,10,SFO 45,3,3,Colin Kaepernick pass complete short left to Bruce Miller for -1 yards (tackle by Jared Odrick),1.930,1.250
2,2:00,2,11,SFO 44,3,3,Colin Kaepernick pass complete short right to Randy Moss for 13 yards (tackle by Chris Clemons),1.250,2.720
2,1:34,1,10,MIA 43,3,3,Colin Kaepernick pass complete deep right to Randy Moss for 17 yards (tackle by Reshad Jones),2.720,0.000
2,1:08,,,,3,3,Timeout #2 by Miami Dolphins,0.000,3.840
2,1:08,1,10,MIA 26,3,3,Colin Kaepernick pass complete short right to LaMichael James for 15 yards (tackle by Reshad Jones),3.840,4.840
2,1:02,1,10,MIA 11,3,3,Colin Kaepernick sacked by Cameron Wake for -6 yards,4.840,3.330
2,0:33,2,16,MIA 17,3,3,LaMichael James left end for -2 yards (tackle by R.J. Stanford),3.330,2.550
2,0:08,3,18,MIA 19,3,3,Colin Kaepernick pass incomplete short right intended for Michael Crabtree,2.550,2.180
2,0:03,4,18,MIA 19,3,6,David Akers 37 yard field goal good,2.180,3.000
Quarter,Time,Down,ToGo,Location,MIA,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,3,6,"David Akers kicks off 67 yards, returned by Marcus Thigpen for 20 yards (tackle by Michael Wilhoite)",0.000,0.040
3,14:54,1,10,MIA 18,3,6,Reggie Bush left guard for 3 yards (tackle by Aldon Smith and Navorro Bowman),0.040,0.010
3,14:16,2,7,MIA 21,3,6,Ryan Tannehill pass incomplete short left intended for Charles Clay (defended by Justin Smith),0.010,-0.790
3,14:12,3,7,MIA 21,3,6,Ryan Tannehill pass incomplete short right intended for Brian Hartline,-0.790,-1.960
3,14:04,4,7,MIA 21,3,6,"Brandon Fields punts 55 yards, returned by Ted Ginn Jr. for 12 yards (tackle by Jason Trusnik)",-1.960,-1.330
3,13:53,1,10,SFO 36,3,6,Colin Kaepernick left end for 5 yards (tackle by Chris Clemons),1.330,1.470
3,13:23,2,5,SFO 41,3,6,LaMichael James right end for 1 yard (tackle by Chris Clemons and Karlos Dansby),1.470,0.890
3,12:54,3,4,SFO 42,3,6,Colin Kaepernick sacked by Jared Odrick for -6 yards,0.890,-0.980
3,12:15,4,10,SFO 36,3,6,"Andy Lee punts 55 yards, muffed catch by Marcus Thigpen, recovered by C.J. Spillman and returned for no gain",-0.980,5.140
3,12:05,1,9,MIA 9,3,6,Anthony Dixon left end for 8 yards (tackle by Chris Clemons and Karlos Dansby),5.140,5.910
3,11:21,2,1,MIA 1,3,12,"Frank Gore left guard for 1 yard, touchdown",5.910,7.000
3,11:21,,,MIA 2,3,13,David Akers kicks extra point good,0.000,0.000
3,11:17,,,SFO 35,3,13,"David Akers kicks off 70 yards, returned by Marcus Thigpen for 56 yards (tackle by Chris Culliver)",0.000,2.320
3,11:06,1,10,SFO 49,3,13,"Ryan Tannehill pass complete short middle to Davone Bess for 3 yards (tackle by Patrick Willis). Davone Bess fumbles (forced by Patrick Willis), recovered by Richie Incognito at SFO-46",2.320,2.190
3,10:06,2,7,SFO 46,3,13,Ryan Tannehill pass complete short right to Reggie Bush for 11 yards (tackle by Donte Whitner),2.190,3.250
3,9:32,1,10,SFO 35,3,13,"Ryan Tannehill left end for 2 yards. Penalty on Reggie Bush: Offensive Holding, 10 yards (no play)",3.250,2.590
3,8:59,1,20,SFO 45,3,13,"Ryan Tannehill pass complete short left to Brian Hartline for 6 yards (tackle by Tarell Brown). Penalty on Tarell Brown: Defensive Holding, 5 yards (no play)",2.590,2.920
3,8:27,1,10,SFO 40,3,13,Lamar Miller up the middle for 1 yard (tackle by Will Tukuafu),2.920,2.510
3,7:45,2,9,SFO 39,3,13,Ryan Tannehill pass incomplete short middle intended for Brian Hartline (defended by Chris Culliver),2.510,1.820
3,7:40,3,9,SFO 39,3,13,Ryan Tannehill pass complete short left to Reggie Bush for 4 yards (tackle by Patrick Willis),1.820,0.980
3,6:57,4,5,SFO 35,6,13,Dan Carpenter 53 yard field goal good,0.980,3.000
3,6:53,,,MIA 35,6,13,"Dan Carpenter kicks off 69 yards, returned by LaMichael James for 21 yards (tackle by Olivier Vernon)",0.000,-0.060
3,6:46,1,10,SFO 17,6,13,Colin Kaepernick pass complete short right to Michael Crabtree for 13 yards (tackle by Sean Smith),-0.060,0.940
3,6:09,1,10,SFO 30,6,13,Frank Gore up the middle for -2 yards (tackle by Jared Odrick and Karlos Dansby),0.940,0.120
3,5:32,2,12,SFO 28,6,13,Colin Kaepernick pass complete short right to Michael Crabtree for 10 yards (tackle by Karlos Dansby and Jason Trusnik),0.120,0.760
3,4:52,3,2,SFO 38,6,13,Colin Kaepernick pass complete short left to Bruce Miller for 2 yards (tackle by R.J. Stanford and Kevin Burnett),0.760,1.600
3,4:06,1,10,SFO 40,6,13,LaMichael James right guard for 13 yards (tackle by Reshad Jones),1.600,0.000
3,3:16,,,,6,13,Timeout #1 by San Francisco 49ers,0.000,2.460
3,3:16,1,10,MIA 47,6,13,Colin Kaepernick pass incomplete deep middle intended for Randy Moss,2.460,1.910
3,3:06,2,10,MIA 47,6,13,"LaMichael James left end for 15 yards (tackle by Chris Clemons). Penalty on Mike Iupati: Offensive Holding, 10 yards (no play)",1.910,0.560
3,2:46,2,20,SFO 43,6,13,Colin Kaepernick pass complete short left to Frank Gore for 19 yards (tackle by Reshad Jones and Karlos Dansby),0.560,2.410
3,1:52,3,1,MIA 38,6,13,Colin Kaepernick pass incomplete short left intended for Randy Moss,2.410,0.720
3,1:45,4,1,MIA 38,6,13,"Colin Kaepernick pass incomplete short right intended for Michael Crabtree (defended by Sean Smith). Penalty on Sean Smith: Defensive Pass Interference, 8 yards (no play)",0.720,3.580
3,1:40,1,10,MIA 30,6,13,Frank Gore up the middle for 9 yards (tackle by Reshad Jones and Chris Clemons),3.580,0.000
3,1:01,,,,6,13,Timeout #2 by San Francisco 49ers,0.000,4.250
3,1:01,2,1,MIA 21,6,13,Frank Gore right tackle for 3 yards (tackle by Cameron Wake),4.250,4.370
3,0:16,1,10,MIA 18,6,13,LaMichael James left end for -2 yards (tackle by Jason Trusnik),4.370,3.560
Quarter,Time,Down,ToGo,Location,MIA,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,12,MIA 20,6,13,Frank Gore up the middle for 19 yards (tackle by Sean Smith),3.560,6.970
4,14:30,1,1,MIA 1,6,19,"Anthony Dixon left tackle for 1 yard, touchdown",6.970,7.000
4,14:30,,,MIA 2,6,20,David Akers kicks extra point good,0.000,0.000
4,14:27,,,SFO 35,6,20,"David Akers kicks off 70 yards, returned by Marcus Thigpen for 30 yards (tackle by Perrish Cox)",0.000,0.610
4,14:19,1,10,MIA 25,6,20,Ryan Tannehill pass complete short right to Davone Bess for 8 yards (tackle by Navorro Bowman),0.610,1.140
,,,,,,,"SFO challenged the pass completion ruling, and the play was upheld.",,
4,14:00,2,2,MIA 33,6,20,Reggie Bush up the middle for 2 yards (tackle by Justin Smith and Aldon Smith),1.140,1.270
4,13:24,1,10,MIA 35,6,20,"Ryan Tannehill pass incomplete deep left intended for Marlon Moore. Penalty on Tarell Brown: Illegal Contact, 5 yards (no play)",1.270,1.600
4,13:15,1,10,MIA 40,6,20,Ryan Tannehill left end for 20 yards (tackle by Donte Whitner),1.600,2.920
4,12:47,1,10,SFO 40,6,20,Reggie Bush right tackle for 2 yards (tackle by Isaac Sopoaga),2.920,2.640
4,12:05,2,8,SFO 38,6,20,Ryan Tannehill pass incomplete deep right intended for Brian Hartline (defended by Chris Culliver),2.640,1.950
4,11:58,3,8,SFO 38,6,20,Ryan Tannehill pass complete short right to Reggie Bush for 9 yards (tackle by Justin Smith),1.950,3.640
4,11:20,1,10,SFO 29,6,20,Reggie Bush up the middle for 2 yards (tackle by Isaac Sopoaga),3.640,3.370
4,10:46,2,8,SFO 27,6,20,Reggie Bush up the middle for 4 yards (tackle by Navorro Bowman),3.370,3.200
4,10:10,3,4,SFO 23,6,20,Reggie Bush up the middle for 17 yards (tackle by Patrick Willis),3.200,5.830
4,9:28,1,6,SFO 6,6,20,Daniel Thomas left tackle for 2 yards (tackle by Aldon Smith),5.830,5.340
4,8:49,2,4,SFO 4,6,20,Daniel Thomas up the middle for 1 yard (tackle by Navorro Bowman and Donte Whitner),5.340,4.720
4,8:06,3,3,SFO 3,6,20,Ryan Tannehill pass incomplete short right intended for Davone Bess,4.720,3.040
4,8:01,4,3,SFO 3,12,20,"Ryan Tannehill pass complete short left to Anthony Fasano for 3 yards, touchdown",3.040,7.000
4,8:01,,,SFO 2,13,20,Dan Carpenter kicks extra point good,0.000,0.000
4,7:55,,,MIA 35,13,20,"Dan Carpenter kicks off 72 yards, returned by LaMichael James for 24 yards (tackle by Olivier Vernon)",0.000,-0.060
4,7:49,1,10,SFO 17,13,20,Colin Kaepernick pass complete short right to Michael Crabtree for 5 yards (tackle by Sean Smith),-0.060,0.210
4,7:10,2,5,SFO 22,13,20,LaMichael James left end for no gain (tackle by Chris Clemons),0.210,-0.620
4,6:29,3,5,SFO 22,13,20,Colin Kaepernick pass complete short right to Michael Crabtree for 3 yards (tackle by Cameron Wake),-0.620,-1.700
4,5:45,4,2,SFO 25,13,20,Andy Lee punts 37 yards,-1.700,-1.470
4,5:35,1,10,MIA 38,13,20,"Penalty on Aldon Smith: Neutral Zone Infraction, 5 yards (no play)",1.470,2.200
4,5:35,1,5,MIA 43,13,20,Reggie Bush left end for 4 yards (tackle by Dashon Goldson),2.200,2.140
4,5:20,2,1,MIA 47,13,20,Ryan Tannehill up the middle for 3 yards (tackle by Justin Smith),2.140,2.260
4,4:45,1,10,,13,20,Ryan Tannehill pass incomplete deep right intended for Brian Hartline,2.260,1.710
4,4:40,2,10,,13,20,"Ryan Tannehill pass incomplete short right intended for Brian Hartline. Penalty on Navorro Bowman: Roughing the Passer, 15 yards, Penalty on Chris Culliver: Defensive Pass Interference (Declined) (no play)",1.710,3.250
4,4:35,1,10,SFO 35,13,20,Ryan Tannehill pass incomplete deep left intended for Rishard Matthews,3.250,2.700
4,4:29,2,10,SFO 35,13,20,Ryan Tannehill pass incomplete short right intended for Brian Hartline,2.700,0.000
4,4:22,,,,13,20,Timeout #1 by Miami Dolphins,0.000,2.010
4,4:22,3,10,SFO 35,13,20,Ryan Tannehill pass incomplete deep middle intended for Davone Bess,2.010,0.970
4,4:16,4,10,SFO 35,13,20,Ryan Tannehill pass incomplete deep left intended for Marlon Moore,0.970,-1.270
4,4:10,1,10,SFO 35,13,20,Frank Gore left guard for 4 yards (tackle by Kevin Burnett and Jason Trusnik),1.270,0.000
4,4:05,,,,13,20,Timeout #2 by Miami Dolphins,0.000,1.260
4,4:05,2,6,SFO 39,13,20,LaMichael James up the middle for 6 yards (tackle by Karlos Dansby),1.260,1.930
4,3:08,1,10,SFO 45,13,20,Frank Gore left tackle for 3 yards (tackle by Karlos Dansby and Kevin Burnett),1.930,0.000
4,3:01,,,,13,20,Timeout #3 by Miami Dolphins,0.000,1.790
4,3:01,2,7,SFO 48,13,20,Colin Kaepernick left end for 2 yards (tackle by Jason Trusnik),1.790,1.360
4,2:19,3,5,,13,26,"Colin Kaepernick left end for 50 yards, touchdown",1.360,7.000
4,2:19,,,MIA 2,13,27,David Akers kicks extra point good,0.000,0.000
4,2:10,,,SFO 35,13,27,"David Akers kicks off 50 yards, returned by Jorvorskie Lane for 24 yards (tackle by Anthony Dixon). Jorvorskie Lane fumbles (forced by Anthony Dixon), recovered by Jorvorskie Lane at MIA-39",0.000,1.530
4,2:04,1,10,MIA 39,13,27,Ryan Tannehill pass incomplete short right intended for Brian Hartline (defended by Chris Culliver),1.530,0.990
4,1:59,2,10,MIA 39,13,27,Ryan Tannehill sacked by Aldon Smith for -9 yards,0.990,-0.890
4,1:37,3,19,MIA 30,13,27,Ryan Tannehill pass complete short left to Rishard Matthews for 8 yards (tackle by Carlos Rogers),-0.890,-0.850
4,1:33,4,11,MIA 38,13,27,Ryan Tannehill pass incomplete deep left intended for Anthony Fasano,-0.850,-3.050
4,1:25,1,10,MIA 38,13,27,Colin Kaepernick kneels for -1 yards,3.050,2.370
4,0:44,2,11,MIA 39,13,27,Colin Kaepernick kneels for -2 yards,2.370,1.420
4,0:18,3,13,MIA 41,13,27,Colin Kaepernick kneels for -1 yards,1.420,0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
