Unnamed: 0,MIA,SFO
First Downs,17,20
Rush-Yds-TDs,22-94-0,28-155-3
Cmp-Att-Yd-TD-INT,17-33-150-1-0,18-23-185-0-0
Sacked-Yards,2-17,4-19
Net Pass Yards,133,166
Total Yards,227,321
Fumbles-Lost,3-1,1-0
Turnovers,1,0
Penalties-Yards,5-43,6-45
Third Down Conv.,5-13,2-10
Fourth Down Conv.,1-3,0-0
Time of Possession,29:28,30:32
