Quarter,Time,Tm,Detail,MIA,SFO
2.0,13:31,Dolphins,Dan Carpenter 28 yard field goal,3,0
,8:00,49ers,David Akers 30 yard field goal,3,3
,0:00,49ers,David Akers 37 yard field goal,3,6
3.0,11:17,49ers,Frank Gore 1 yard rush (David Akers kick),3,13
,6:53,Dolphins,Dan Carpenter 53 yard field goal,6,13
4.0,14:27,49ers,Anthony Dixon 1 yard rush (David Akers kick),6,20
,7:55,Dolphins,Anthony Fasano 3 yard pass from Ryan Tannehill (Dan Carpenter kick),13,20
,2:10,49ers,Colin Kaepernick 50 yard rush (David Akers kick),13,27
