Unnamed: 0,STL,KAN
First Downs,13,23
Rush-Yds-TDs,19-84-0,33-140-3
Cmp-Att-Yd-TD-INT,15-25-160-1-1,25-29-223-0-0
Sacked-Yards,7-44,2-8
Net Pass Yards,116,215
Total Yards,200,355
Fumbles-Lost,0-0,2-1
Turnovers,1,1
Penalties-Yards,8-68,7-51
Third Down Conv.,3-11,6-12
Fourth Down Conv.,0-1,0-0
Time of Possession,24:22,35:38
