Quarter,Time,Tm,Detail,TEN,HOU
1.0,7:25,Texans,Duke Johnson 1 yard rush (Ka'imi Fairbairn kick),0,7
,5:33,Titans,A.J. Brown 51 yard pass from Ryan Tannehill (Greg Joseph kick),7,7
2.0,9:42,Titans,MyCole Pruitt 1 yard pass from Ryan Tannehill (Greg Joseph kick),14,7
3.0,10:06,Titans,Derrick Henry 3 yard rush (Greg Joseph kick),21,7
,1:09,Texans,A.J. McCarron 1 yard rush (Ka'imi Fairbairn kick),21,14
4.0,14:02,Titans,Derrick Henry 1 yard rush (Greg Joseph kick),28,14
,2:54,Titans,Derrick Henry 53 yard rush (Greg Joseph kick),35,14
