Unnamed: 0,NYJ,ARI
First Downs,16,17
Rush-Yds-TDs,38-146-0,24-71-0
Cmp-Att-Yd-TD-INT,13-21-193-1-0,19-36-181-0-3
Sacked-Yards,2-14,1-7
Net Pass Yards,179,174
Total Yards,325,245
Fumbles-Lost,3-0,2-1
Turnovers,0,4
Penalties-Yards,9-85,6-51
Third Down Conv.,5-15,5-13
Fourth Down Conv.,1-1,0-0
Time of Possession,34:07,25:53
