Quarter,Time,Down,ToGo,Location,NYJ,ARI,Detail,EPB,EPA
1,0:26,1,10,ARI 32,0,0,"Josh Scobey right tackle for 4 yards (tackle by John Abraham). Penalty on L.J. Shelton: Personal Foul, 16 yards (no play)",1.070,-0.390
1,0:14,1,26,ARI 16,0,0,Josh Scobey up the middle for 1 yard (tackle by John Abraham),-0.390,-1.640
Quarter,Time,Down,ToGo,Location,NYJ,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,25,ARI 17,0,0,Shaun King pass complete to Josh Scobey for 7 yards (tackle by Eric Barton),-1.640,-1.220
2,14:27,3,18,ARI 24,0,0,Shaun King up the middle for 2 yards (tackle by Dewayne Robertson),-1.220,-1.630
2,13:40,4,16,ARI 26,0,0,"Scott Player punts 36 yards, muffed catch by Santana Moss, recovered by Santana Moss and returned for no gain",-1.630,-1.470
2,13:32,1,10,NYJ 38,0,0,Brooks Bollinger pass complete to Jonathan Carter for 7 yards (tackle by David Macklin),1.470,1.870
2,12:58,2,3,NYJ 45,0,0,Curtis Martin left tackle for no gain (tackle by Ronald McKinnon),1.870,1.160
2,12:18,3,3,NYJ 45,0,0,Brooks Bollinger pass complete to Wayne Chrebet for 26 yards (tackle by Adrian Wilson),1.160,3.640
2,11:38,1,10,ARI 29,0,0,Brooks Bollinger pass incomplete intended for Santana Moss (defended by Ifeanyi Ohalete),3.640,3.100
2,11:32,2,10,ARI 29,0,0,Brooks Bollinger pass incomplete intended for Terrell Buckley,3.100,2.410
,,,,,,,"ARI challenged the ruling, and the original play was overturned.",,
2,11:04,3,10,ARI 29,0,0,Brooks Bollinger sacked by Darnell Dockett and Calvin Pace for -8 yards,2.410,0.790
2,10:31,4,18,ARI 37,0,0,Toby Gowin punts 31 yards,0.790,0.380
2,10:23,1,10,ARI 6,0,0,Obafemi Ayanbadejo right tackle for 4 yards (tackle by Reggie Tongue and Jonathan Vilma),-0.380,-0.490
2,9:49,2,6,ARI 10,0,0,Shaun King pass incomplete intended for Freddie Jones,-0.490,-0.950
2,9:42,3,6,ARI 10,0,0,Shaun King pass complete to Josh Scobey for no gain,-0.950,-2.490
2,9:09,4,6,ARI 10,0,0,"Scott Player punts 46 yards, returned by Santana Moss for 1 yard (tackle by Michael Stone)",-2.490,-1.930
2,8:58,1,10,NYJ 45,0,0,Quincy Carter pass complete to LaMont Jordan for 3 yards (tackle by Karlos Dansby),1.930,1.790
2,8:27,2,7,NYJ 48,0,0,Curtis Martin left tackle for 19 yards (tackle by Ifeanyi Ohalete),1.790,3.380
2,7:47,1,10,ARI 33,0,0,Curtis Martin right tackle for 9 yards (tackle by Ronald McKinnon),3.380,4.050
2,7:11,2,1,ARI 24,0,0,LaMont Jordan right end for 2 yards (tackle by Karlos Dansby),4.050,4.110
2,6:33,,,,0,0,Timeout #2 by Arizona Cardinals,0.000,4.110
2,6:33,1,10,ARI 22,0,0,Curtis Martin up the middle for 4 yards (tackle by Raynoch Thompson and Bertrand Berry),4.110,4.130
2,5:57,2,6,ARI 18,0,0,Curtis Martin right tackle for 3 yards (tackle by Ronald McKinnon),4.130,3.930
2,5:19,3,3,ARI 15,0,0,LaMont Jordan left tackle for 2 yards (tackle by Darnell Dockett),3.930,2.720
2,4:55,4,1,ARI 13,0,0,Quincy Carter up the middle for 2 yards (tackle by James Darling),2.720,4.840
2,4:19,1,10,ARI 11,0,0,Curtis Martin up the middle for 1 yard (tackle by Ronald McKinnon and Adrian Wilson),4.840,4.320
2,3:38,2,9,ARI 10,0,0,Quincy Carter pass incomplete intended for Santana Moss (defended by Duane Starks),4.320,3.300
2,3:35,3,9,ARI 10,0,0,Quincy Carter pass incomplete intended for Justin McCareins,3.300,2.760
2,3:31,4,9,ARI 10,3,0,Doug Brien 28 yard field goal good,2.760,3.000
2,,,,NYJ 30,3,0,"Toby Gowin kicks off 75 yards, touchback",0.000,0.280
2,3:08,1,10,ARI 20,3,0,Shaun King pass complete to Anquan Boldin for 12 yards (tackle by Donnie Abraham),0.280,1.070
2,2:41,1,10,ARI 32,3,0,Josh Scobey up the middle for 3 yards (tackle by Jonathan Vilma and Alan Harper),1.070,0.930
2,2:21,2,7,ARI 35,3,0,Shaun King pass complete to Anquan Boldin for 12 yards (tackle by Erik Coleman),0.930,2.060
2,2:00,1,10,ARI 47,3,0,"Shaun King pass complete to Anquan Boldin for 20 yards (tackle by David Barrett). Penalty on Eric Barton: Roughing the Passer, 15 yards",2.060,4.370
2,1:55,1,10,NYJ 18,3,0,Shaun King pass complete to Freddie Jones for 7 yards (tackle by Reggie Tongue),4.370,5.010
2,1:27,2,3,NYJ 11,3,0,Josh Scobey left tackle for no gain (tackle by John Abraham),5.010,4.260
2,0:54,3,3,NYJ 11,3,0,"Shaun King pass complete to Josh Scobey for no gain. Penalty on Shaun Ellis: Defensive Offside, 5 yards (no play)",4.260,5.830
2,0:49,,,,3,0,Timeout #1 by New York Jets,0.000,5.830
2,0:49,1,6,NYJ 6,3,0,Shaun King pass incomplete intended for Larry Fitzgerald,5.830,4.950
2,0:45,2,6,NYJ 6,3,0,Shaun King pass incomplete intended for Karl Williams,4.950,4.040
2,0:38,3,6,NYJ 6,3,0,Shaun King right tackle for 3 yards (tackle by Eric Barton and Bryan Thomas),4.040,3.040
2,0:04,,,,3,0,Timeout #3 by Arizona Cardinals,0.000,3.040
2,0:04,4,3,NYJ 3,3,3,Neil Rackers 20 yard field goal good,3.040,3.000
Quarter,Time,Down,ToGo,Location,NYJ,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 30,3,3,"Toby Gowin kicks off 72 yards, touchback",0.000,0.280
3,15:00,1,10,ARI 20,3,3,Shaun King pass incomplete intended for Larry Fitzgerald,0.280,-0.270
3,14:57,2,10,ARI 20,3,3,Larry Croom up the middle for 2 yards (tackle by John Abraham),-0.270,-0.690
3,14:23,3,8,ARI 22,3,3,Shaun King pass complete to Freddie Jones for 9 yards (tackle by Jonathan Vilma),-0.690,1.000
3,13:59,1,10,ARI 31,3,3,Larry Croom left tackle for 6 yards (tackle by Erik Coleman),1.000,1.270
3,13:30,2,4,ARI 37,3,3,Shaun King right end for 3 yards (tackle by Jonathan Vilma),1.270,0.960
3,12:58,3,1,ARI 40,3,3,Obafemi Ayanbadejo up the middle for 4 yards (tackle by Eric Barton),0.960,1.860
3,12:27,1,10,ARI 44,3,3,Larry Croom up the middle for 6 yards (tackle by Alan Harper),1.860,2.130
3,11:54,2,4,ARI 50,3,3,Shaun King pass complete to Freddie Jones for 3 yards (tackle by Mark Brown),2.130,1.820
3,11:09,3,1,NYJ 47,3,3,Larry Croom right tackle for no gain (tackle by Shaun Ellis and John Abraham),1.820,0.130
3,10:27,4,1,NYJ 47,3,3,Scott Player punts 32 yards,0.130,0.220
3,10:17,1,10,NYJ 15,3,3,Curtis Martin up the middle for 4 yards (tackle by Adrian Wilson),-0.220,-0.110
3,9:45,2,6,NYJ 19,3,3,Curtis Martin right tackle for 1 yard (tackle by James Darling),-0.110,-0.760
3,9:01,3,5,NYJ 20,3,3,Quincy Carter pass complete to Justin McCareins for 13 yards (tackle by David Macklin). Penalty on David Macklin: Defensive Holding (Declined),-0.760,1.140
3,8:35,1,10,NYJ 33,3,3,Curtis Martin up the middle for 2 yards (tackle by Peppi Zellner and Russell Davis),1.140,0.860
3,8:00,2,8,NYJ 35,3,3,Quincy Carter pass complete to Santana Moss for 12 yards (tackle by Renaldo Hill),0.860,2.060
3,7:37,1,10,NYJ 47,3,3,LaMont Jordan left end for 16 yards (tackle by David Macklin),2.060,3.120
3,6:55,1,10,ARI 37,3,3,Quincy Carter pass complete to B.J. Askew for 11 yards (tackle by Ifeanyi Ohalete),3.120,3.840
3,6:23,1,10,ARI 26,3,3,Curtis Martin right tackle for 4 yards (tackle by Raynoch Thompson),3.840,3.840
3,5:44,2,6,ARI 22,3,3,Quincy Carter pass incomplete intended for Jonathan Carter,3.840,3.140
3,5:40,3,6,ARI 22,3,3,"Quincy Carter sacked by Bertrand Berry and Calvin Pace for -5 yards. Quincy Carter fumbles (forced by Bertrand Berry), recovered by Kareem McKenzie at ARI-28",3.140,1.590
3,4:58,4,12,ARI 28,6,3,Doug Brien 46 yard field goal good,1.590,3.000
3,,,,NYJ 30,6,3,"Toby Gowin kicks off 67 yards, returned by Josh Scobey for no gain",0.000,0.280
3,4:50,1,10,ARI 20,6,3,Shaun King pass incomplete intended for Anquan Boldin,0.280,-0.270
3,4:37,2,10,ARI 20,6,3,"Shaun King pass complete to Anquan Boldin for 5 yards (tackle by Reggie Tongue). Penalty on Shaun Ellis: Roughing the Passer, 15 yards",-0.270,1.600
3,4:12,1,10,ARI 40,6,3,Shaun King pass incomplete intended for Larry Croom,1.600,1.050
3,4:07,2,10,ARI 40,6,3,Shaun King sacked by Shaun Ellis for -7 yards,1.050,-0.560
3,4:07,3,17,ARI 33,6,3,"Penalty on Cameron Spikes: False Start, 5 yards (no play)",-0.560,-1.220
3,3:07,3,22,ARI 28,6,3,Shaun King pass incomplete intended for Anquan Boldin,-1.220,-1.500
3,3:01,4,22,ARI 28,6,3,"Scott Player punts 50 yards, returned by Santana Moss for 9 yards (tackle by James Darling)",-1.500,-1.000
3,2:51,1,10,NYJ 31,12,3,"Quincy Carter pass complete to Santana Moss for 69 yards, touchdown",1.000,7.000
3,,,,ARI 2,13,3,Doug Brien kicks extra point good,0.000,0.000
3,,,,NYJ 30,13,3,"Toby Gowin kicks off 70 yards, returned by Josh Scobey for 21 yards (tackle by Rashad Washington)",0.000,0.340
3,2:35,1,10,ARI 21,13,3,"Shaun King pass complete to Anquan Boldin for 2 yards (tackle by Terrell Buckley). Penalty on Terrell Buckley: Face Mask (15 Yards), 15 yards",0.340,1.470
3,2:16,1,10,ARI 38,13,3,Larry Croom right tackle for 2 yards (tackle by Bryan Thomas),1.470,1.190
3,1:53,2,8,ARI 40,13,3,Shaun King pass incomplete intended for Freddie Jones,1.190,0.500
3,1:47,3,8,ARI 40,13,3,Shaun King pass complete to Larry Fitzgerald for 15 yards (tackle by Reggie Tongue),0.500,2.590
3,1:13,1,10,NYJ 45,13,3,Larry Croom left end for 4 yards (tackle by Jonathan Vilma and Shaun Ellis),2.590,2.580
3,0:30,2,6,NYJ 41,13,3,Larry Croom right tackle for 6 yards (tackle by Reggie Tongue),2.580,3.250
Quarter,Time,Down,ToGo,Location,NYJ,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NYJ 35,13,3,"Larry Croom right end for 7 yards (tackle by James Reed). Penalty on John Abraham: Defensive Offside, 5 yards (no play)",3.250,3.980
4,14:43,1,5,NYJ 30,13,3,Shaun King pass incomplete intended for Larry Croom,3.980,3.380
4,14:39,2,5,NYJ 30,13,3,Larry Croom left end for -2 yards (tackle by David Barrett),3.380,2.410
4,13:57,3,7,NYJ 32,13,3,Shaun King pass complete to Obafemi Ayanbadejo for 14 yards (tackle by David Barrett),2.410,4.370
4,13:29,1,10,NYJ 18,13,3,Larry Croom right tackle for -3 yards (tackle by Eric Barton),4.370,3.420
4,12:53,2,13,NYJ 21,13,3,Shaun King pass incomplete intended for Larry Fitzgerald is intercepted by Jonathan Vilma at NYJ-5 and returned for 6 yards (tackle by Larry Croom),3.420,0.370
4,12:46,1,10,NYJ 11,13,3,"Curtis Martin right tackle for 2 yards (tackle by Adrian Wilson and Karlos Dansby). Penalty on Brandon Moore: Offensive Holding, 5 yards (no play)",-0.370,-0.570
4,12:24,1,15,NYJ 6,13,3,LaMont Jordan right tackle for 4 yards (tackle by Adrian Wilson and Ronald McKinnon),-0.570,-0.850
4,11:43,2,11,NYJ 10,13,3,"Quincy Carter pass incomplete intended for Jonathan Carter. Penalty on James Darling: Illegal Contact, 5 yards (no play)",-0.850,-0.220
4,11:37,1,10,NYJ 15,13,3,LaMont Jordan right end for -2 yards (tackle by Ronald McKinnon),-0.220,-0.920
4,11:03,2,12,NYJ 13,13,3,Quincy Carter pass complete to Jonathan Carter for 11 yards (tackle by David Macklin),-0.920,-0.270
4,10:24,3,1,NYJ 24,13,3,Curtis Martin right tackle for 1 yard (tackle by Bertrand Berry and Peppi Zellner),-0.270,0.610
4,9:41,1,10,NYJ 25,13,3,Quincy Carter pass complete to Santana Moss for 11 yards (tackle by Adrian Wilson),0.610,1.330
4,9:13,1,10,NYJ 36,13,3,Curtis Martin left tackle for 2 yards (tackle by James Darling and Karlos Dansby),1.330,1.060
4,8:34,2,8,NYJ 38,13,3,Curtis Martin right tackle for 5 yards (tackle by James Darling and Ifeanyi Ohalete),1.060,1.030
4,7:50,3,3,NYJ 43,13,3,"Curtis Martin right tackle for -1 yards (tackle by Renaldo Hill). Curtis Martin fumbles (forced by Renaldo Hill), recovered by Curtis Martin at NYJ-42",1.030,-0.590
4,7:15,4,4,NYJ 42,13,3,Toby Gowin punts 33 yards,-0.590,-0.610
4,7:05,1,10,ARI 25,13,3,Larry Croom up the middle for 4 yards (tackle by Jason Ferguson),0.610,0.600
4,6:35,2,6,ARI 29,13,3,"Josh McCown pass complete to Anquan Boldin for 12 yards (tackle by David Barrett). Anquan Boldin fumbles (forced by David Barrett), recovered by Jonathan Vilma at NYJ-44 (tackle by Anthony Clement)",0.600,-1.860
4,6:23,1,10,NYJ 44,13,3,LaMont Jordan left tackle for 2 yards (tackle by James Darling),1.860,1.590
4,5:38,2,8,NYJ 46,13,3,Curtis Martin left end for 1 yard (tackle by Ronald McKinnon),1.590,1.030
4,4:55,3,7,NYJ 47,13,3,Curtis Martin right tackle for 15 yards (tackle by Renaldo Hill),1.030,3.050
4,4:08,1,10,ARI 38,13,3,LaMont Jordan left tackle for 2 yards (tackle by Ronald McKinnon),3.050,2.780
4,4:00,,,,13,3,Timeout #1 by Arizona Cardinals,0.000,2.780
4,4:00,2,8,ARI 36,13,3,Quincy Carter pass complete to Jerald Sowell for 3 yards (tackle by Karlos Dansby),2.780,2.480
4,3:46,,,,13,3,Timeout #2 by Arizona Cardinals,0.000,2.480
4,3:45,3,5,ARI 33,13,3,"LaMont Jordan right tackle for 10 yards (tackle by Renaldo Hill). Penalty on Anthony Becht: Offensive Holding, 10 yards (no play)",2.480,1.160
4,3:38,3,15,ARI 43,13,3,LaMont Jordan up the middle for 5 yards (tackle by Darnell Dockett),1.160,0.720
4,3:19,4,10,ARI 38,13,3,Toby Gowin punts 22 yards,0.720,0.140
4,3:08,1,10,ARI 16,13,3,Josh McCown pass incomplete intended for Anquan Boldin,-0.140,-0.660
4,3:08,2,10,ARI 16,13,3,"Penalty on Jason Ferguson: Encroachment, 5 yards (no play)",-0.660,0.150
4,3:03,2,5,ARI 21,13,3,Josh McCown pass complete to Freddie Jones for 18 yards (tackle by Reggie Tongue),0.150,1.530
4,2:54,1,10,ARI 39,13,3,Josh McCown pass complete to Anquan Boldin for 10 yards (tackle by David Barrett),1.530,2.190
4,2:47,1,10,ARI 49,13,3,Josh McCown pass complete to Larry Croom for 8 yards (tackle by Donnie Abraham),2.190,2.730
4,2:22,2,2,NYJ 43,13,3,Josh McCown pass complete to Anquan Boldin for 14 yards (tackle by Erik Coleman),2.730,3.640
4,2:15,1,10,NYJ 29,13,3,Josh McCown pass incomplete intended for Freddie Jones,3.640,3.100
4,2:10,2,10,NYJ 29,13,3,Josh McCown pass incomplete intended for Anquan Boldin (defended by Terrell Buckley),3.100,2.410
4,2:04,3,10,NYJ 29,13,3,Josh McCown pass incomplete is intercepted by David Barrett and returned for 14 yards (tackle by Larry Croom),2.410,0.350
4,1:50,1,10,NYJ 12,13,3,LaMont Jordan right tackle for no gain (tackle by Ross Kolodziej),-0.350,-0.780
4,1:39,,,,13,3,Timeout #3 by Arizona Cardinals,0.000,-0.780
4,1:39,2,10,NYJ 12,13,3,LaMont Jordan right tackle for 4 yards (tackle by Adrian Wilson),-0.780,-0.950
4,1:00,3,6,NYJ 16,13,3,LaMont Jordan right tackle for 3 yards (tackle by Adrian Wilson and Gerald Hayes),-0.950,-2.140
4,0:13,4,3,NYJ 19,13,3,"Toby Gowin punts 37 yards, returned by Karl Williams for 2 yards (tackle by Darrell McClover)",-2.140,-1.990
4,0:04,1,10,ARI 46,13,3,Josh McCown pass incomplete intended for Bryant Johnson is intercepted by Terrell Buckley at NYJ-31 and returned for 18 yards (tackle by Josh McCown),1.990,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
