Quarter,Time,Tm,Detail,NYJ,ARI
2.0,3:28,Jets,Doug Brien 28 yard field goal,3,0
,0:00,Cardinals,Neil Rackers 20 yard field goal,3,3
3.0,4:53,Jets,Doug Brien 46 yard field goal,6,3
,2:41,Jets,Santana Moss 69 yard pass from Quincy Carter (Doug Brien kick),13,3
