Quarter,Time,Tm,Detail,KAN,CIN
2.0,1:38,Bengals,Shayne Graham 29 yard field goal,0,3
,0:05,Chiefs,Ryan Succop 30 yard field goal,3,3
3.0,9:10,Bengals,Laveranues Coles 10 yard pass from Carson Palmer (Shayne Graham kick),3,10
4.0,14:52,Chiefs,Tim Castille 20 yard pass from Matt Cassel (Ryan Succop kick),10,10
,2:03,Bengals,Chad Johnson 6 yard pass from Carson Palmer (Shayne Graham kick),10,17
