Quarter,Time,Down,ToGo,Location,KAN,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,CIN 30,0,0,"Shayne Graham kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,KAN 20,0,0,Jamaal Charles left tackle for 2 yards (tackle by Rey Maualuga),0.280,0.000
1,14:24,2,8,KAN 22,0,0,"Penalty on Branden Albert: False Start, 5 yards (no play)",0.000,-0.790
1,14:11,2,13,KAN 17,0,0,Jamaal Charles right guard for 9 yards (tackle by Johnathan Joseph),-0.790,-0.160
1,13:44,3,4,KAN 26,0,0,Jamaal Charles right guard for 5 yards (tackle by Robert Geathers),-0.160,1.000
1,13:16,1,10,KAN 31,0,0,Matt Cassel pass complete short right to Mike Cox for 5 yards (tackle by Nedu Ndukwe and Rey Maualuga),1.000,1.140
1,12:39,2,5,KAN 36,0,0,Matt Cassel pass incomplete deep right intended for Chris Chambers,1.140,0.430
1,12:34,3,5,KAN 36,0,0,Matt Cassel pass complete short middle to Dwayne Bowe for 4 yards (tackle by Dhani Jones and Brandon Johnson),0.430,-0.720
1,12:01,4,1,KAN 40,0,0,"Dustin Colquitt punts 60 yards, touchback",-0.720,-0.280
1,11:50,1,10,CIN 20,0,0,Cedric Benson left end for 4 yards (tackle by Mike Brown),0.280,0.270
1,11:11,2,6,CIN 24,0,0,Carson Palmer pass complete short left to Chad Johnson for 5 yards (tackle by Brandon Flowers),0.270,0.230
1,10:32,3,1,CIN 29,0,0,Cedric Benson right tackle for 3 yards (tackle by Corey Mays),0.230,1.070
1,9:49,1,10,CIN 32,0,0,Cedric Benson left tackle for 4 yards (tackle by Ron Edwards and Glenn Dorsey),1.070,1.070
1,9:11,2,6,CIN 36,0,0,Cedric Benson left tackle for 14 yards (tackle by Brandon Flowers),1.070,2.260
1,8:27,1,10,,0,0,Chad Johnson right end for -2 yards (tackle by Tyson Jackson and Corey Mays),2.260,1.440
1,7:47,2,12,CIN 48,0,0,Cedric Benson left tackle for 1 yard (tackle by Tamba Hali),1.440,0.890
1,7:07,3,11,CIN 49,0,0,Carson Palmer pass incomplete short right intended for Chad Johnson,0.890,-0.130
1,7:01,4,11,CIN 49,0,0,"Kevin Huber punts 51 yards, touchback",-0.130,-0.280
1,6:52,1,10,KAN 20,0,0,Jamaal Charles right guard for 4 yards (tackle by Rey Maualuga and Keith Rivers),0.280,0.270
1,6:18,2,6,KAN 24,0,0,Jamaal Charles left end for 5 yards (tackle by Keith Rivers),0.270,0.230
1,5:40,3,1,KAN 29,0,0,Jamaal Charles left end for no gain (tackle by Rey Maualuga),0.230,-1.440
1,4:48,4,1,KAN 29,0,0,"Dustin Colquitt punts 46 yards, returned by Quan Cosby for 10 yards (tackle by Derrick Johnson). Penalty on Thomas Gafford: Offensive Holding, 10 yards",-1.440,-1.930
1,4:34,1,10,CIN 45,0,0,Carson Palmer pass complete short left to Cedric Benson for 1 yard (tackle by Mike Vrabel),1.930,1.520
1,3:57,2,9,CIN 46,0,0,Cedric Benson right tackle for no gain (tackle by Mike Vrabel and Mike Brown),1.520,0.830
1,3:15,3,9,CIN 46,0,0,Carson Palmer pass incomplete deep right intended for Chad Johnson (defended by Brandon Flowers),0.830,-0.320
1,3:09,4,9,CIN 46,0,0,"Kevin Huber punts 36 yards, fair catch by Bobby Wade",-0.320,-0.040
1,3:02,1,10,KAN 18,0,0,Matt Cassel pass incomplete deep left intended for Chris Chambers (defended by Leon Hall),0.040,-0.490
1,2:52,2,10,KAN 18,0,0,Jamaal Charles middle for 1 yard (tackle by Rey Maualuga),-0.490,-1.040
1,2:17,3,9,KAN 19,0,0,Matt Cassel pass complete short right to Dwayne Bowe for 10 yards (tackle by Johnathan Joseph),-1.040,0.870
1,1:36,1,10,KAN 29,0,0,"Jamaal Charles for 42 yards (tackle by Nedu Ndukwe). Penalty on Branden Albert: Offensive Holding, 10 yards (no play)",0.870,0.110
1,1:26,1,20,KAN 19,0,0,Matt Cassel pass complete short middle to Chris Chambers for 7 yards (tackle by Brandon Johnson and Leon Hall),0.110,-0.080
1,0:57,2,13,KAN 26,0,0,Matt Cassel pass complete short right to Dwayne Bowe for 7 yards (tackle by Johnathan Joseph),-0.080,0.170
1,0:20,3,6,KAN 33,0,0,Matt Cassel sacked by Michael Johnson for -8 yards,0.170,-1.700
Quarter,Time,Down,ToGo,Location,KAN,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
