Unnamed: 0,CHI,SEA
First Downs,7,17
Rush-Yds-TDs,27-98-0,29-159-0
Cmp-Att-Yd-TD-INT,9-17-63-0-0,20-30-235-1-0
Sacked-Yards,2-15,4-23
Net Pass Yards,48,212
Total Yards,146,371
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,6-40,5-41
Third Down Conv.,3-13,5-16
Fourth Down Conv.,0-0,2-2
Time of Possession,27:24,32:36
