Unnamed: 0,SFO,SEA
First Downs,16,14
Rush-Yds-TDs,28-161-1,29-115-1
Cmp-Att-Yd-TD-INT,14-24-153-1-2,16-25-215-1-0
Sacked-Yards,2-6,4-22
Net Pass Yards,147,193
Total Yards,308,308
Fumbles-Lost,3-1,3-1
Turnovers,3,1
Penalties-Yards,7-65,8-66
Third Down Conv.,3-11,5-14
Fourth Down Conv.,2-2,1-3
Time of Possession,28:32,31:28
