Quarter,Time,Tm,Detail,SFO,SEA
1.0,12:45,49ers,Phil Dawson 25 yard field goal,3,0
2.0,10:03,49ers,Anthony Dixon 1 yard rush (Phil Dawson kick),10,0
,5:47,Seahawks,Stephen Hauschka 32 yard field goal,10,3
3.0,9:51,Seahawks,Marshawn Lynch 40 yard rush (Stephen Hauschka kick),10,10
,6:29,49ers,Anquan Boldin 26 yard pass from Colin Kaepernick (Phil Dawson kick),17,10
,3:55,Seahawks,Stephen Hauschka 40 yard field goal,17,13
4.0,13:44,Seahawks,Jermaine Kearse 35 yard pass from Russell Wilson (Stephen Hauschka kick),17,20
,3:37,Seahawks,Stephen Hauschka 47 yard field goal,17,23
