Unnamed: 0,CIN,CLE
First Downs,30,23
Rush-Yds-TDs,24-68-0,35-215-3
Cmp-Att-Yd-TD-INT,37-61-316-3-0,16-23-219-2-1
Sacked-Yards,3-31,0-0
Net Pass Yards,285,219
Total Yards,353,434
Fumbles-Lost,2-1,0-0
Turnovers,1,1
Penalties-Yards,4-45,8-76
Third Down Conv.,8-18,5-8
Fourth Down Conv.,5-5,1-2
Time of Possession,33:39,26:21
