Quarter,Time,Tm,Detail,CIN,CLE
1.0,7:13,Bengals,Randy Bullock 38 yard field goal,3,0
,1:48,Browns,Nick Chubb 11 yard rush (Cody Parkey kick),3,7
2.0,11:54,Browns,Odell Beckham Jr. 43 yard pass from Baker Mayfield (Cody Parkey kick),3,14
,9:00,Bengals,C.J. Uzomah 23 yard pass from Joe Burrow (Randy Bullock kick),10,14
,1:31,Browns,Kareem Hunt 6 yard pass from Baker Mayfield (Cody Parkey kick),10,21
,0:02,Bengals,Randy Bullock 43 yard field goal,13,21
3.0,5:45,Browns,Nick Chubb 1 yard rush (Cody Parkey kick),13,28
,0:20,Bengals,Randy Bullock 27 yard field goal,16,28
4.0,5:55,Bengals,Mike Thomas 4 yard pass from Joe Burrow (Randy Bullock kick),23,28
,3:55,Browns,Kareem Hunt 1 yard rush (Cody Parkey kick),23,35
,0:43,Bengals,Tyler Boyd 9 yard pass from Joe Burrow (Randy Bullock kick),30,35
