Unnamed: 0,TEN,PIT
First Downs,22,12
Rush-Yds-TDs,42-201-1,17-35-1
Cmp-Att-Yd-TD-INT,23-32-153-0-1,16-25-148-0-0
Sacked-Yards,4-36,3-15
Net Pass Yards,117,133
Total Yards,318,168
Fumbles-Lost,5-3,0-0
Turnovers,4,0
Penalties-Yards,7-68,5-30
Third Down Conv.,8-18,2-11
Fourth Down Conv.,1-2,0-0
Time of Possession,39:08,20:52
