Quarter,Time,Tm,Detail,TEN,PIT
1.0,7:41,Titans,Ryan Tannehill 1 yard rush (Randy Bullock kick),7,0
,1:13,Titans,Randy Bullock 26 yard field goal,10,0
2.0,10:35,Steelers,Chris Boswell 36 yard field goal,10,3
,0:18,Titans,Randy Bullock 32 yard field goal,13,3
3.0,3:08,Steelers,Ben Roethlisberger 1 yard rush (Chris Boswell kick),13,10
4.0,13:24,Steelers,Chris Boswell 28 yard field goal,13,13
,7:20,Steelers,Chris Boswell 46 yard field goal,13,16
,4:29,Steelers,Chris Boswell 48 yard field goal,13,19
