Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Jamaal Williams,DET,13,33,0,1,20,1.5,13,1.0,1,13.0
D'Andre Swift,DET,8,52,0,2,38,4.8,14,1.8,0,
Justin Jackson,DET,6,16,0,0,16,2.7,0,0.0,0,
Amon-Ra St. Brown,DET,1,6,0,0,3,3.0,3,3.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Zonovan Knight,NYJ,13,23,0,,16,1.2,7,0.5,0,
Michael Carter,NYJ,4,15,0,0,10,2.5,5,1.3,1,4.0
Zach Wilson,NYJ,3,7,0,1,7,2.3,0,0.0,0,
Tyler Conklin,NYJ,1,2,0,1,2,2.0,0,0.0,0,
Elijah Moore,NYJ,1,3,0,1,3,3.0,0,0.0,0,
