Quarter,Time,Tm,Detail,DET,NYJ
1.0,6:00,Lions,Kalif Raymond 47 yard punt return (Michael Badgley kick),7,0
2.0,14:06,Jets,C.J. Uzomah 40 yard pass from Zach Wilson (Greg Zuerlein kick),7,7
,7:06,Lions,Michael Badgley 31 yard field goal,10,7
,0:00,Jets,Greg Zuerlein 34 yard field goal,10,10
3.0,11:55,Lions,Michael Badgley 34 yard field goal,13,10
4.0,4:41,Jets,C.J. Uzomah 1 yard pass from Zach Wilson (Greg Zuerlein kick),13,17
,1:49,Lions,Brock Wright 51 yard pass from Jared Goff (Michael Badgley kick),20,17
