Unnamed: 0,DET,NYJ
First Downs,17,18
Rush-Yds-TDs,28-107-0,22-50-0
Cmp-Att-Yd-TD-INT,23-38-252-1-0,18-35-317-2-1
Sacked-Yards,0-0,4-30
Net Pass Yards,252,287
Total Yards,359,337
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,6-52,2-20
Third Down Conv.,5-15,7-14
Fourth Down Conv.,2-3,1-1
Time of Possession,32:32,27:28
