Unnamed: 0,ATL,HOU
First Downs,18,20
Rush-Yds-TDs,18-70-0,44-162-1
Cmp-Att-Yd-TD-INT,20-47-267-1-2,12-25-188-1-0
Sacked-Yards,0-0,3-13
Net Pass Yards,267,175
Total Yards,337,337
Fumbles-Lost,0-0,1-1
Turnovers,2,1
Penalties-Yards,7-43,5-35
Third Down Conv.,6-14,9-18
Fourth Down Conv.,0-2,1-1
Time of Possession,24:56,35:04
