Quarter,Time,Down,ToGo,Location,ATL,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,HOU 35,0,0,"Brett Hartmann kicks off 66 yards, returned by Eric Weems for 17 yards (tackle by Tim Dobbins)",0.000,-0.140
1,14:49,1,10,ATL 16,0,0,Matt Ryan pass incomplete deep left intended for Roddy White,-0.140,-0.660
1,14:49,2,10,ATL 16,0,0,Michael Turner up the middle for no gain (tackle by Brian Cushing),-0.660,-1.320
1,14:07,3,10,ATL 16,0,0,Matt Ryan pass incomplete deep middle intended for Julio Jones,-1.320,-2.390
1,14:00,4,10,ATL 16,0,0,"Matt Bosher punts 49 yards, fair catch by Jacoby Jones",-2.390,-1.270
1,13:51,1,10,HOU 35,0,0,Arian Foster right guard for 3 yards (tackle by Curtis Lofton and Mike Peterson),1.270,1.130
1,13:17,2,7,HOU 38,0,0,Arian Foster left guard for -3 yards (tackle by Ray Edwards),1.130,0.040
1,12:39,3,10,HOU 35,0,0,T.J. Yates pass incomplete short right intended for Andre Johnson (defended by Christopher Owens),0.040,-1.040
1,12:33,4,10,HOU 35,0,0,"Brett Hartmann punts 52 yards, returned by Eric Weems for 11 yards (tackle by Sherrick McManis)",-1.040,-0.540
1,12:21,1,10,ATL 24,0,0,Matt Ryan pass incomplete deep middle intended for Roddy White is intercepted by Kareem Jackson at HOU-35,0.540,-1.270
1,12:12,1,10,HOU 35,0,0,Ben Tate left tackle for 6 yards (tackle by Mike Peterson and Thomas DeCoud),1.270,1.530
1,11:35,2,4,HOU 41,0,0,Ben Tate left guard for no gain (tackle by Sean Weatherspoon),1.530,0.830
1,10:58,3,4,HOU 41,0,0,T.J. Yates pass complete short right to Andre Johnson for 5 yards (tackle by Christopher Owens),0.830,1.990
1,10:37,1,10,HOU 46,0,0,T.J. Yates pass incomplete deep middle intended for Andre Johnson,1.990,1.450
1,10:30,2,10,HOU 46,0,0,T.J. Yates pass complete short middle to Owen Daniels for 17 yards (tackle by Sean Weatherspoon),1.450,3.120
1,9:51,1,10,ATL 37,0,0,T.J. Yates pass complete deep middle to Andre Johnson for 20 yards (tackle by James Sanders),3.120,4.440
1,9:08,1,10,ATL 17,0,0,Ben Tate right tackle for 2 yards (tackle by Thomas DeCoud),4.440,4.150
1,8:28,2,8,ATL 15,0,0,T.J. Yates pass incomplete short right intended for Kevin Walter (defended by Mike Peterson),4.150,3.340
1,8:24,3,8,ATL 15,0,0,"T.J. Yates sacked by Vance Walker for -7 yards. T.J. Yates fumbles (forced by Vance Walker), recovered by James Sanders at ATL-10 and returned for 90 yards. Penalty on Connor Barwin: Illegal Substitution (Offsetting), Penalty on Ray Edwards: Illegal Substitution (Offsetting)",3.340,-1.270
,,,,,,,"HOU challenged the fumble ruling, and the play was upheld.",,
1,8:18,1,10,ATL 35,0,0,Matt Ryan pass complete deep right to Roddy White for 16 yards (tackle by Johnathan Joseph),1.270,2.320
1,7:47,1,10,HOU 49,0,0,Matt Ryan pass complete short left to Tony Gonzalez for 4 yards (tackle by Quintin Demps),2.320,2.320
1,7:02,2,6,HOU 45,0,0,Matt Ryan pass incomplete deep middle intended for Julio Jones is intercepted by Jason Allen at HOU-26 and returned for 34 yards (tackle by Julio Jones),2.320,-2.920
1,6:48,1,10,ATL 40,0,0,T.J. Yates pass incomplete short left intended for Andre Johnson (defended by Dunta Robinson),2.920,2.370
1,6:42,2,10,ATL 40,0,0,Arian Foster left tackle for 10 yards (tackle by James Sanders),2.370,3.580
1,6:10,1,10,ATL 30,0,0,Arian Foster right tackle for 1 yard (tackle by Mike Peterson),3.580,3.170
1,5:32,2,9,ATL 29,0,0,T.J. Yates pass complete short left to Owen Daniels for 8 yards (tackle by Dunta Robinson),3.170,3.530
1,4:52,3,1,ATL 21,0,0,Arian Foster right tackle for no gain (tackle by Sean Weatherspoon and Peria Jerry),3.530,2.210
1,4:07,,,,0,0,Timeout #2 by Houston Texans,0.000,2.210
1,4:07,4,1,ATL 21,0,0,"Penalty on Mike Brisiel: False Start, 5 yards (no play)",2.210,1.760
1,4:07,4,6,ATL 26,0,3,Neil Rackers 43 yard field goal good,1.760,3.000
1,,,,HOU 35,0,3,"Brett Hartmann kicks off 71 yards, returned by Eric Weems for 30 yards (tackle by Tim Dobbins)",0.000,0.540
1,3:57,1,10,ATL 24,0,3,Michael Turner left end for 1 yard (tackle by Connor Barwin),0.540,0.130
1,3:13,2,9,ATL 25,0,3,Matt Ryan pass complete short left to Julio Jones for 10 yards (tackle by Jason Allen),0.130,1.270
1,2:59,1,10,ATL 35,0,3,Michael Turner left end for 4 yards (tackle by Brian Cushing),1.270,1.260
1,2:15,2,6,ATL 39,0,3,Matt Ryan pass incomplete short right intended for Harry Douglas (defended by Danieal Manning),1.260,0.560
1,2:12,3,6,ATL 39,0,3,"Penalty on Matt Ryan: Delay of Game, 5 yards (no play)",0.560,-0.100
1,2:12,3,11,ATL 34,0,3,Matt Ryan pass incomplete deep left intended for Roddy White,-0.100,-1.110
1,2:07,4,11,ATL 34,0,3,"Matt Bosher punts 51 yards, returned by Jacoby Jones for 2 yards (tackle by Antone Smith)",-1.110,0.060
1,1:55,1,10,HOU 17,0,3,T.J. Yates pass incomplete deep right intended for Andre Johnson,-0.060,-0.580
1,1:48,2,10,HOU 17,0,3,Ben Tate right tackle for 1 yard (tackle by Thomas DeCoud),-0.580,-1.130
1,1:10,3,9,HOU 18,0,3,T.J. Yates pass complete short middle to Arian Foster for 4 yards (tackle by Curtis Lofton),-1.130,-1.900
1,0:40,4,5,HOU 22,0,3,Brett Hartmann punts 49 yards,-1.900,-0.870
1,0:32,1,10,ATL 29,0,3,Michael Turner right end for -3 yards (tackle by Glover Quin),0.870,-0.080
Quarter,Time,Down,ToGo,Location,ATL,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,13,ATL 26,0,3,Matt Ryan pass complete short left to Julio Jones for 12 yards (tackle by Brooks Reed),-0.080,0.830
2,14:27,3,1,ATL 38,0,3,Matt Ryan pass incomplete short right intended for Michael Palmer,0.830,-0.850
2,14:21,4,1,ATL 38,0,3,"Matt Bosher punts 50 yards, returned by Jacoby Jones for 8 yards (tackle by Eric Weems)",-0.850,-0.280
