Quarter,Time,Tm,Detail,ATL,HOU
1.0,4:03,Texans,Neil Rackers 43 yard field goal,0,3
2.0,10:08,Texans,Joel Dreessen 3 yard pass from T.J. Yates (Neil Rackers kick),0,10
,5:06,Falcons,Matt Bryant 19 yard field goal,3,10
3.0,1:46,Falcons,Roddy White 4 yard pass from Matt Ryan (Matt Bryant kick),10,10
4.0,6:05,Texans,Arian Foster 1 yard rush (Neil Rackers kick),10,17
