Quarter,Time,Down,ToGo,Location,ARI,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,"Shaun Suisham kicks off 65 yards, returned by Reggie Swinton for 18 yards (tackle by Nate Jones)",0.000,0.480
1,14:55,1,10,ARI 23,0,0,Marcel Shipp up the middle for no gain (tackle by Roy Williams),0.480,-0.070
1,14:22,2,10,ARI 23,0,0,Marcel Shipp up the middle for 12 yards (tackle by Keith Davis),-0.070,1.270
1,13:46,1,10,ARI 35,0,0,Josh McCown pass complete to Larry Fitzgerald for 11 yards (tackle by Roy Williams),1.270,1.990
1,13:09,1,10,ARI 46,0,0,Marcel Shipp left tackle for 1 yard (tackle by Greg Ellis),1.990,1.590
1,12:30,2,9,ARI 47,0,0,Anquan Boldin pass incomplete intended for Larry Fitzgerald (defended by Keith Davis),1.590,0.890
1,12:20,3,9,ARI 47,0,0,Josh McCown pass complete to Larry Fitzgerald for 11 yards (tackle by Anthony Henry),0.890,2.790
1,11:35,1,10,DAL 42,0,0,Josh McCown pass complete to Bryant Johnson for 9 yards (tackle by DeMarcus Ware),2.790,3.460
1,11:12,2,1,DAL 33,0,0,J.J. Arrington up the middle for no gain (tackle by Roy Williams),3.460,2.740
1,10:30,3,1,DAL 33,0,0,Josh McCown sacked by Greg Ellis and Bradie James for -1 yards,2.740,1.100
1,9:48,4,2,DAL 34,3,0,Neil Rackers 52 yard field goal good,1.100,3.000
1,,,,ARI 30,3,0,"Neil Rackers kicks off 78 yards, touchback",0.000,0.280
1,9:43,1,10,DAL 20,3,0,Marion Barber right end for 18 yards (tackle by Adrian Wilson),0.280,1.470
1,9:16,1,10,DAL 38,3,0,Drew Bledsoe pass complete to Jason Witten for 34 yards (tackle by Adrian Wilson),1.470,3.710
1,8:44,1,10,ARI 28,3,6,"Marion Barber right tackle for 28 yards, touchdown",3.710,7.000
1,,,,ARI 2,3,7,Shaun Suisham kicks extra point good,0.000,0.000
1,,,,DAL 30,3,7,"Shaun Suisham kicks off 63 yards, returned by Reggie Swinton for 12 yards (tackle by Scott Fujita)",0.000,0.150
1,8:30,1,10,ARI 19,3,7,J.J. Arrington left tackle for 3 yards (tackle by Anthony Henry),0.150,0.070
1,7:59,2,7,ARI 22,3,7,Josh McCown pass incomplete intended for Bryant Johnson,0.070,-0.680
1,7:53,3,7,ARI 22,3,7,"Josh McCown pass incomplete. Penalty on Josh McCown: Intentional Grounding, 10 yards",-0.680,-2.490
1,7:47,4,17,ARI 12,3,7,"Scott Player punts 48 yards, returned by Peerless Price for 3 yards (tackle by Lance Mitchell)",-2.490,-1.800
1,7:37,1,10,DAL 43,3,7,Drew Bledsoe pass incomplete,1.800,1.250
1,7:31,2,10,DAL 43,3,7,Drew Bledsoe pass complete to Jason Witten for 11 yards (tackle by David Macklin),1.250,2.520
1,6:53,1,10,ARI 46,3,7,Drew Bledsoe pass complete to Terry Glenn for 20 yards (tackle by Robert Tate),2.520,3.840
1,6:22,1,10,ARI 26,3,7,Marion Barber up the middle for 3 yards (tackle by Bertrand Berry),3.840,3.700
1,5:42,2,7,ARI 23,3,7,Drew Bledsoe pass incomplete intended for Terry Glenn,3.700,3.010
1,5:37,,,,3,7,Timeout #1 by Dallas Cowboys,0.000,3.010
1,5:37,3,7,ARI 23,3,7,Drew Bledsoe pass complete to Keyshawn Johnson for 12 yards (tackle by David Macklin and James Darling),3.010,4.840
1,5:01,1,10,ARI 11,3,7,Marion Barber up the middle for 3 yards (tackle by Darnell Dockett),4.840,4.700
1,4:23,2,7,ARI 8,3,7,Drew Bledsoe pass complete to Lousaka Polite for 5 yards (tackle by Karlos Dansby),4.700,4.890
1,3:42,3,2,ARI 3,3,7,Marion Barber up the middle for no gain (tackle by Darnell Dockett),4.890,3.050
1,3:01,4,2,ARI 3,3,10,Shaun Suisham 21 yard field goal good,3.050,3.000
1,,,,DAL 30,3,10,"Shaun Suisham kicks off 67 yards, returned by Reggie Swinton for 20 yards (tackle by Keith Davis)",0.000,0.480
1,2:51,1,10,ARI 23,3,10,Marcel Shipp left guard for 3 yards (tackle by Jason Ferguson),0.480,0.340
1,2:15,2,7,ARI 26,3,10,Josh McCown pass complete to Larry Fitzgerald for 6 yards (tackle by Aaron Glenn),0.340,0.430
1,2:02,3,1,ARI 32,3,10,Obafemi Ayanbadejo up the middle for 2 yards (tackle by Marcus Spears and Bradie James),0.430,1.200
1,1:27,1,10,ARI 34,3,10,Josh McCown pass incomplete intended for Anquan Boldin,1.200,0.660
1,1:21,2,10,ARI 34,3,10,Marcel Shipp up the middle for 7 yards (tackle by Bradie James),0.660,0.890
1,0:38,3,3,ARI 41,3,10,Josh McCown pass complete to Adam Bergen for 7 yards (tackle by Roy Williams),0.890,2.130
1,0:03,1,10,ARI 48,3,10,Obafemi Ayanbadejo left tackle for -1 yards (tackle by Roy Williams),2.130,1.450
