Quarter,Time,Tm,Detail,ARI,DAL
1.0,9:43,Cardinals,Neil Rackers 52 yard field goal,3,0
,8:36,Cowboys,Marion Barber III 28 yard rush (Shaun Suisham kick),3,7
,2:57,Cowboys,Shaun Suisham 21 yard field goal,3,10
2.0,12:53,Cardinals,Anquan Boldin 44 yard pass from Josh McCown (Neil Rackers kick),10,10
,3:11,Cowboys,Keyshawn Johnson 5 yard pass from Drew Bledsoe (Shaun Suisham kick),10,17
,1:00,Cowboys,Marion Barber III 10 yard rush (Shaun Suisham kick),10,24
3.0,11:13,Cardinals,Neil Rackers 47 yard field goal,13,24
,3:03,Cowboys,Shaun Suisham 21 yard field goal,13,27
4.0,11:54,Cowboys,Anthony Henry 58 yard interception return (Shaun Suisham kick),13,34
