Unnamed: 0,TAM,ATL
First Downs,27,23
Rush-Yds-TDs,18-51-2,13-37-0
Cmp-Att-Yd-TD-INT,31-45-390-2-0,34-49-356-3-0
Sacked-Yards,3-25,3-24
Net Pass Yards,365,332
Total Yards,416,369
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,1-10,3-28
Third Down Conv.,4-10,6-15
Fourth Down Conv.,0-0,1-2
Time of Possession,31:49,28:11
