Quarter,Time,Tm,Detail,TAM,ATL
1.0,10:34,Falcons,Russell Gage 5 yard pass from Matt Ryan (Younghoe Koo kick),0,7
2.0,7:48,Falcons,Calvin Ridley 12 yard pass from Matt Ryan (Younghoe Koo kick),0,14
,0:15,Falcons,Younghoe Koo 32 yard field goal,0,17
3.0,11:28,Buccaneers,Leonard Fournette 1 yard rush (Ryan Succop kick),7,17
,7:34,Falcons,Hayden Hurst 7 yard pass from Matt Ryan (Younghoe Koo kick),7,24
,3:44,Buccaneers,Chris Godwin 4 yard pass from Tom Brady (Ryan Succop kick),14,24
,0:05,Buccaneers,Leonard Fournette 1 yard rush (Ryan Succop kick),21,24
4.0,11:10,Buccaneers,Ryan Succop 27 yard field goal,24,24
,8:22,Falcons,Younghoe Koo 52 yard field goal,24,27
,6:19,Buccaneers,Antonio Brown 46 yard pass from Tom Brady (Ryan Succop kick),31,27
